dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	longitude	latitude	wms_source	wms_layer	dem_status	error
val	wl-tile-v1-13481	wl-neg-neg-pt-dgpc-108107	neg-pt-dgpc-108107	0	hard_negative	val	PT	Abrigo 11 da Ribeira da Cabreira/ Ribeira da Cabreira 11			-7.297940351536222	41.5054335321567	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13482	wl-neg-neg-pt-dgpc-108112	neg-pt-dgpc-108112	0	hard_negative	val	PT	Abrigo 3 da Ribeira da Cabreira/ Ribeira da Cabreira 3			-7.296120756960736	41.507221035006395	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13490	wl-neg-neg-pt-dgpc-114420	neg-pt-dgpc-114420	0	hard_negative	val	PT	Alto de Pandim / Gouvães da Serra			-7.7319388673519525	41.48669466012515	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13491	wl-neg-neg-pt-dgpc-114771	neg-pt-dgpc-114771	0	hard_negative	val	PT	Alto do Cemitério Velho / Parada de monteiros			-7.726296415211796	41.56661276615648	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13411	wl-neg-neg-pt-dgpc-105162	neg-pt-dgpc-105162	0	hard_negative	val	PT	Anta de Zedes (Casa da Moura I)			-7.293699138179899	41.27587936383766	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13427	wl-neg-neg-pt-dgpc-112742	neg-pt-dgpc-112742	0	hard_negative	val	PT	Aqueduto da Serra do Pilar/Aqueduto do Sardão			-8.584641849574412	41.11381523513608	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13391	wl-neg-neg-pt-dgpc-109238	neg-pt-dgpc-109238	0	hard_negative	val	PT	Ara de Louredo			-8.146107651442879	41.67957326976197	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13451	wl-neg-neg-pt-dgpc-109417	neg-pt-dgpc-109417	0	hard_negative	val	PT	Arca 1			-8.564291089712382	41.75425596260592	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13483	wl-neg-neg-pt-dgpc-109237	neg-pt-dgpc-109237	0	hard_negative	val	PT	Arquinho 2			-7.2640315104356095	41.61922990189063	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13475	wl-neg-neg-pt-dgpc-109410	neg-pt-dgpc-109410	0	hard_negative	val	PT	Batocas/ Lamas da Cidade			-7.598645654007771	41.755025548531975	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13478	wl-neg-neg-pt-dgpc-104755	neg-pt-dgpc-104755	0	hard_negative	val	PT	Cabanelas			-7.785881253890541	41.23827183775959	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13441	wl-neg-neg-pt-dgpc-112885	neg-pt-dgpc-112885	0	hard_negative	val	PT	Calçada Romana de Brito			-8.632967908638845	41.02749837357024	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
