export_id	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	longitude	latitude	bbox_epsg4326	bbox_epsg25830	tile_side_m	coverage_id	wcs_base	target_dem_path	status	dem_status	actual_width_px	actual_height_px	resolution_x_m	resolution_y_m	crs	finite_fraction	dem_min_m	dem_max_m	bytes	attempts	error	wcs_url	generated_at
weak-relief-wcs-v1-00001	wl-tile-v1-02661	wl-neg-neg-es-pba-24808	neg-es-pba-24808	0	hard_negative	test_trasancos	ES	Igrexa de San Martiño de Valdetires	-8.202906967768326	43.58186389546189	-8.20608161,43.57956422,-8.19973233,43.58416357	79641.87,4838329.33,80186.66,4838872.42	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02661-neg-es-pba-24808-mdt5.tif	downloaded	valid	109	109	4.998	4.982	EPSG:25830	1.000000	42.000	101.000	24242	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2879641.87%2C80186.66%29&SUBSET=y%284838329.33%2C4838872.42%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00002	wl-tile-v1-02650	wl-neg-neg-es-pba-20404	neg-es-pba-20404	0	hard_negative	test_trasancos	ES	Mámoa da Ermida	-8.000436085991886	43.481207131645974	-8.00360543,43.47890746,-7.99726674,43.48350681	95318.41,4826142.72,95861.88,4826684.48	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02650-neg-es-pba-20404-mdt5.tif	downloaded	valid	109	108	4.986	5.016	EPSG:25830	1.000000	408.000	473.000	24024	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2895318.41%2C95861.88%29&SUBSET=y%284826142.72%2C4826684.48%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00003	wl-tile-v1-02651	wl-neg-neg-es-pba-20405	neg-es-pba-20405	0	hard_negative	test_trasancos	ES	Mámoa da Pena do Cabalo	-8.000903530397089	43.49619374229235	-8.00407366,43.49389407,-7.99773340,43.49849342	95380.85,4827809.70,95924.33,4828351.48	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02651-neg-es-pba-20405-mdt5.tif	downloaded	valid	109	108	4.986	5.016	EPSG:25830	1.000000	420.000	502.000	24024	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2895380.85%2C95924.33%29&SUBSET=y%284827809.70%2C4828351.48%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00004	wl-tile-v1-02652	wl-neg-neg-es-pba-20406	neg-es-pba-20406	0	hard_negative	test_trasancos	ES	Mámoa de Bardaos	-8.045691218805501	43.56779596584658	-8.04886512,43.56549629,-8.04251732,43.57009564	92242.58,4835982.29,92786.38,4836524.39	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02652-neg-es-pba-20406-mdt5.tif	downloaded	valid	109	108	4.989	5.019	EPSG:25830	1.000000	279.000	337.000	24024	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2892242.58%2C92786.38%29&SUBSET=y%284835982.29%2C4836524.39%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00005	wl-tile-v1-02599	wl-neg-neg-es-pba-9906	neg-es-pba-9906	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 01/Mámoa de Chao de Castelo 01	-8.284890558173549	43.5030480170049	-8.28806105,43.50074834,-8.28172007,43.50534769	72463.41,4829992.89,73008.67,4830536.45	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02599-neg-es-pba-9906-mdt5.tif	downloaded	valid	109	109	5.002	4.987	EPSG:25830	1.000000	159.000	264.000	24242	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2872463.41%2C73008.67%29&SUBSET=y%284829992.89%2C4830536.45%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00006	wl-tile-v1-02600	wl-neg-neg-es-pba-9907	neg-es-pba-9907	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 02/Mámoa de Chao de Castelo 02	-8.28507543448828	43.502797794072634	-8.28824591,43.50049812,-8.28190496,43.50509747	72446.70,4829966.05,72991.95,4830509.61	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02600-neg-es-pba-9907-mdt5.tif	downloaded	valid	109	109	5.002	4.987	EPSG:25830	1.000000	151.000	260.000	24242	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2872446.70%2C72991.95%29&SUBSET=y%284829966.05%2C4830509.61%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00007	wl-tile-v1-02601	wl-neg-neg-es-pba-9908	neg-es-pba-9908	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 03	-8.290038696201908	43.50167498769244	-8.29320911,43.49937531,-8.28686828,43.50397466	72037.41,4829866.88,72582.69,4830410.47	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02601-neg-es-pba-9908-mdt5.tif	downloaded	valid	109	109	5.003	4.987	EPSG:25830	1.000000	131.000	268.000	24242	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2872037.41%2C72582.69%29&SUBSET=y%284829866.88%2C4830410.47%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00008	wl-tile-v1-02602	wl-neg-neg-es-pba-9909	neg-es-pba-9909	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 04	-8.287394680576789	43.502967717328765	-8.29056517,43.50066804,-8.28422419,43.50526739	72260.36,4829996.86,72805.63,4830540.44	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02602-neg-es-pba-9909-mdt5.tif	downloaded	valid	109	109	5.002	4.987	EPSG:25830	1.000000	159.000	264.000	24242	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2872260.36%2C72805.63%29&SUBSET=y%284829996.86%2C4830540.44%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00009	wl-tile-v1-02603	wl-neg-neg-es-pba-9910	neg-es-pba-9910	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 05	-8.287378675829093	43.50326504262651	-8.29054918,43.50096537,-8.28420817,43.50556472	72263.76,4830029.81,72809.03,4830573.38	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02603-neg-es-pba-9910-mdt5.tif	downloaded	valid	109	109	5.002	4.987	EPSG:25830	1.000000	167.000	270.000	24242	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2872263.76%2C72809.03%29&SUBSET=y%284830029.81%2C4830573.38%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00010	wl-tile-v1-02604	wl-neg-neg-es-pba-9911	neg-es-pba-9911	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 06	-8.287822010519347	43.503315852537604	-8.29099252,43.50101618,-8.28465151,43.50561553	72228.27,4830037.73,72773.54,4830581.31	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02604-neg-es-pba-9911-mdt5.tif	downloaded	valid	109	109	5.002	4.987	EPSG:25830	1.000000	170.000	270.000	24242	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2872228.27%2C72773.54%29&SUBSET=y%284830037.73%2C4830581.31%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00011	wl-tile-v1-02605	wl-neg-neg-es-pba-9912	neg-es-pba-9912	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 07	-8.287886806622668	43.503909445784195	-8.29105734,43.50160977,-8.28471627,43.50620912	72227.23,4830104.01,72772.50,4830647.58	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02605-neg-es-pba-9912-mdt5.tif	downloaded	valid	109	109	5.002	4.987	EPSG:25830	1.000000	187.000	277.000	24242	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2872227.23%2C72772.50%29&SUBSET=y%284830104.01%2C4830647.58%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00012	wl-tile-v1-02606	wl-neg-neg-es-pba-9913	neg-es-pba-9913	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 08	-8.287700330219803	43.50446856146361	-8.29087090,43.50216888,-8.28452976,43.50676824	72246.27,4830165.15,72791.54,4830708.73	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02606-neg-es-pba-9913-mdt5.tif	downloaded	valid	109	109	5.002	4.987	EPSG:25830	1.000000	207.000	283.000	24242	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2872246.27%2C72791.54%29&SUBSET=y%284830165.15%2C4830708.73%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00013	wl-tile-v1-02607	wl-neg-neg-es-pba-9914	neg-es-pba-9914	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 09	-8.287517353137748	43.50463077750608	-8.29068793,43.50233110,-8.28434678,43.50693045	72262.21,4830182.23,72807.48,4830725.81	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02607-neg-es-pba-9914-mdt5.tif	downloaded	valid	109	109	5.002	4.987	EPSG:25830	1.000000	206.000	285.000	24242	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2872262.21%2C72807.48%29&SUBSET=y%284830182.23%2C4830725.81%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00014	wl-tile-v1-02608	wl-neg-neg-es-pba-9939	neg-es-pba-9939	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 10	-8.28645511249296	43.50628591540524	-8.28962577,43.50398624,-8.28328445,43.50858559	72359.81,4830360.62,72905.08,4830904.19	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02608-neg-es-pba-9939-mdt5.tif	downloaded	valid	109	109	5.002	4.987	EPSG:25830	1.000000	198.000	295.000	24242	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2872359.81%2C72905.08%29&SUBSET=y%284830360.62%2C4830904.19%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00015	wl-tile-v1-02609	wl-neg-neg-es-pba-9940	neg-es-pba-9940	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 11	-8.284792774789404	43.50681868267713	-8.28796346,43.50451901,-8.28162209,43.50911836	72497.99,4830411.25,73043.25,4830954.80	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02609-neg-es-pba-9940-mdt5.tif	downloaded	valid	109	109	5.002	4.987	EPSG:25830	1.000000	187.000	295.000	24242	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2872497.99%2C73043.25%29&SUBSET=y%284830411.25%2C4830954.80%29	2026-08-01T00:00:00Z
weak-relief-wcs-v1-00016	wl-tile-v1-02610	wl-neg-neg-es-pba-9941	neg-es-pba-9941	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 12	-8.28517193486836	43.507271832761674	-8.28834265,43.50497216,-8.28200122,43.50957151	72470.54,4830463.53,73015.80,4831007.09	512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02610-neg-es-pba-9941-mdt5.tif	downloaded	valid	109	109	5.002	4.987	EPSG:25830	1.000000	204.000	295.000	24242	1		https://servicios.idee.es/wcs-inspire/mdt?SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=Elevacion25830_5&FORMAT=image%2Ftiff&SUBSET=x%2872470.54%2C73015.80%29&SUBSET=y%284830463.53%2C4831007.09%29	2026-08-01T00:00:00Z
