export_id	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	longitude	latitude	bbox_epsg4326	bbox_epsg25830	tile_side_m	coverage_id	wcs_base	target_dem_path	status	dem_status	actual_width_px	actual_height_px	resolution_x_m	resolution_y_m	crs	finite_fraction	dem_min_m	dem_max_m	bytes	attempts	error	wcs_url	generated_at
weak-relief-wcs-v1-00001	wl-tile-v1-09842	wl-neg-neg-pt-dgpc-109485	neg-pt-dgpc-109485	0	hard_negative	train	PT	Abobeleira	-7.489830001785641	41.757862138830525	-7.49291282,41.75556246,-7.48674718,41.76016182		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09842-neg-pt-dgpc-109485-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00002	wl-tile-v1-09671	wl-neg-neg-pt-dgpc-113998	neg-pt-dgpc-113998	0	hard_negative	train	PT	Albergaria de Amarante	-8.082978847149942	41.274269818167234	-8.08603872,41.27197014,-8.07991898,41.27656949		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09671-neg-pt-dgpc-113998-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00003	wl-tile-v1-09786	wl-neg-neg-pt-dgpc-112388	neg-pt-dgpc-112388	0	hard_negative	train	PT	Almas 1	-8.553205857286674	41.95400290331258	-8.55629814,41.95170323,-8.55011357,41.95630258		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09786-neg-pt-dgpc-112388-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00004	wl-tile-v1-09787	wl-neg-neg-pt-dgpc-112389	neg-pt-dgpc-112389	0	hard_negative	train	PT	Almas 2	-8.552904773365952	41.955007982851846	-8.55599711,41.95270831,-8.54981244,41.95730766		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09787-neg-pt-dgpc-112389-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00005	wl-tile-v1-09789	wl-neg-neg-pt-dgpc-112391	neg-pt-dgpc-112391	0	hard_negative	train	PT	Almas 3	-8.553064141079286	41.95534727281584	-8.55615649,41.95304760,-8.54997179,41.95764695		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09789-neg-pt-dgpc-112391-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00006	wl-tile-v1-09860	wl-neg-neg-pt-dgpc-110210	neg-pt-dgpc-110210	0	hard_negative	train	PT	Alto da Raia	-7.892501639057414	41.92646548844683	-7.89559259,41.92416581,-7.88941069,41.92876517		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09860-neg-pt-dgpc-110210-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00007	wl-tile-v1-09839	wl-neg-neg-pt-dgpc-109328	neg-pt-dgpc-109328	0	hard_negative	train	PT	Alto do Circo/ Faiões	-7.422593323925045	41.748913322636895	-7.42567571,41.74661365,-7.41951094,41.75121300		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09839-neg-pt-dgpc-109328-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00008	wl-tile-v1-09665	wl-neg-neg-pt-dgpc-105104	neg-pt-dgpc-105104	0	hard_negative	train	PT	Amarante - Calçada da Misericórdia	-8.081246915917617	41.27219252605144	-8.08430669,41.26989285,-8.07818714,41.27449220		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09665-neg-pt-dgpc-105104-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00009	wl-tile-v1-09673	wl-neg-neg-pt-dgpc-114810	neg-pt-dgpc-114810	0	hard_negative	train	PT	Amarante - Ponte de Santa Luzia	-8.082811750155177	41.272125516765286	-8.08587152,41.26982584,-8.07975198,41.27442519		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09673-neg-pt-dgpc-114810-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00010	wl-tile-v1-09533	wl-neg-neg-pt-dgpc-109231	neg-pt-dgpc-109231	0	hard_negative	train	PT	Anjo da Guarda São Miguel-o-Anjo	-8.346639411620394	41.61905339405689	-8.34971558,41.61675372,-8.34356324,41.62135307		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09533-neg-pt-dgpc-109231-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00011	wl-tile-v1-09859	wl-neg-neg-pt-dgpc-109575	neg-pt-dgpc-109575	0	hard_negative	train	PT	Antigo de Arcos/ Arcos-Miliário do Imperador Tibério	-7.669406113029623	41.76359693956762	-7.67248921,41.76129726,-7.66632302,41.76589662		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09859-neg-pt-dgpc-109575-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00012	wl-tile-v1-09626	wl-neg-neg-pt-dgpc-109367	neg-pt-dgpc-109367	0	hard_negative	train	PT	Arca	-8.445128030034828	41.628234136079726	-8.44820464,41.62593446,-8.44205142,41.63053381		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09626-neg-pt-dgpc-109367-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00013	wl-tile-v1-09702	wl-neg-neg-pt-dgpc-104969	neg-pt-dgpc-104969	0	hard_negative	train	PT	Arcos	-8.541789200559847	41.25697442560436	-8.54484826,41.25467475,-8.53873014,41.25927410		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09702-neg-pt-dgpc-104969-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00014	wl-tile-v1-09704	wl-neg-neg-pt-dgpc-106058	neg-pt-dgpc-106058	0	hard_negative	train	PT	Ardegães/ Bouça da Cova da Moura	-8.56947680757387	41.233607962743655	-8.57253477,41.23130829,-8.56641884,41.23590764		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09704-neg-pt-dgpc-106058-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00015	wl-tile-v1-09595	wl-neg-neg-pt-dgpc-114655	neg-pt-dgpc-114655	0	hard_negative	train	PT	Assento	-8.320148127738037	41.70572847561232	-8.32322844,41.70342880,-8.31706781,41.70802815		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09595-neg-pt-dgpc-114655-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
weak-relief-wcs-v1-00016	wl-tile-v1-09621	wl-neg-neg-pt-dgpc-107051	neg-pt-dgpc-107051	0	hard_negative	train	PT	Atalaia do Telhado	-8.4517245674111	41.43499742301069	-8.45479200,41.43269775,-8.44865713,41.43729710		512	Elevacion25830_5	https://servicios.idee.es/wcs-inspire/mdt	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09621-neg-pt-dgpc-107051-mdt5.tif	skipped	unsupported_country											WCS MDT target currently supports Spain/EPSG:25830 only		2026-08-01T00:00:00Z
