spatial_block_id	province_or_district	municipality	rows	positives	held_out_in_fold	positives_recovered_top_decile	recall_top_decile	median_positive_rank_pct
ES|A Coruña|Oroso	A Coruña	Oroso	39	18	2	0	0.000000	0.267796
ES|A Coruña|Sada	A Coruña	Sada	13	13	4	0	0.000000	0.248872
ES|A Coruña|Dodro	A Coruña	Dodro	21	8	1	0	0.000000	0.271810
ES|A Coruña|Oleiros	A Coruña	Oleiros	9	8	2	0	0.000000	0.181015
ES|A Coruña|A Baña	A Coruña	A Baña	75	8	5	0	0.000000	0.163086
ES|A Coruña|Mugardos	A Coruña	Mugardos	6	6	2	0	0.000000	0.222112
ES|Pontevedra|Meis	Pontevedra	Meis	35	6	4	0	0.000000	0.265540
ES|Ourense|O Irixo	Ourense	O Irixo	82	6	4	0	0.000000	0.181359
ES|Pontevedra|Moraña	Pontevedra	Moraña	38	6	5	0	0.000000	0.271733
ES|Ourense|Vilar de Barrio	Ourense	Vilar de Barrio	6	4	2	0	0.000000	0.177307
ES|A Coruña|Padrón	A Coruña	Padrón	10	4	2	0	0.000000	0.209037
ES|Pontevedra|A Guarda	Pontevedra	A Guarda	39	4	3	0	0.000000	0.309045
ES|Ourense|Beade	Ourense	Beade	4	4	3	0	0.000000	0.347542
ES|Pontevedra|Cerdedo Cotobade	Pontevedra	Cerdedo Cotobade	8	4	3	0	0.000000	0.817685
ES|Ourense|Baños de Molgas	Ourense	Baños de Molgas	42	4	4	0	0.000000	0.275900
ES|Ourense|Sarreaus	Ourense	Sarreaus	6	4	4	0	0.000000	0.220850
ES|Ourense|Castrelo do Val	Ourense	Castrelo do Val	6	3	5	0	0.000000	0.228917
ES|Ourense|Beariz	Ourense	Beariz	58	3	5	0	0.000000	0.149323
ES|Ourense|Cualedro	Ourense	Cualedro	10	3	5	0	0.000000	0.239391
ES|A Coruña|Oza Cesuras	A Coruña	Oza Cesuras	2	2	2	0	0.000000	0.448849
ES|Ourense|Piñor	Ourense	Piñor	29	2	2	0	0.000000	0.141028
ES|Ourense|Os Blancos	Ourense	Os Blancos	4	2	2	0	0.000000	0.135523
ES|Ourense|Oímbra	Ourense	Oímbra	8	2	3	0	0.000000	0.458865
ES|Pontevedra|Catoira	Pontevedra	Catoira	17	2	4	0	0.000000	0.168170
ES|Ourense|O Carballiño	Ourense	O Carballiño	6	2	5	0	0.000000	0.150661
ES|Pontevedra|Pazos de Borbén	Pontevedra	Pazos de Borbén	57	2	5	0	0.000000	0.200895
ES|Ourense|San Cibrao das Viñas	Ourense	San Cibrao das Viñas	13	1	1	0	0.000000	0.101537
ES|Lugo|Pastoriza	Lugo	Pastoriza	1	1	1	0	0.000000	0.345974
ES|Ourense|Ramirás	Ourense	Ramirás	4	1	2	0	0.000000	0.270204
ES|Pontevedra|Soutomaior	Pontevedra	Soutomaior	12	1	2	0	0.000000	0.185870
ES|Pontevedra|Ribadumia	Pontevedra	Ribadumia	1	1	2	0	0.000000	0.121492
ES|Ourense|Bande	Ourense	Bande	45	1	2	0	0.000000	0.395596
ES|A Coruña|O Porto do Son	A Coruña	O Porto do Son	1	1	3	0	0.000000	0.642251
ES|Pontevedra|A Caniza	Pontevedra	A Caniza	1	1	4	0	0.000000	0.838443
