regime	fold	train_rows	test_rows	test_positives	test_negatives	blocks_held_out	roc_auc	average_precision	precision_at_50	recall_at_50	median_positive_rank	feature_set
block	1	10543	2536	560	1976	61	0.910012	0.787692	0.980000	0.087500	321.5	fusion
block	2	10397	2682	560	2122	62	0.910970	0.784866	0.960000	0.085714	322.0	fusion
block	3	10200	2879	559	2320	69	0.902997	0.749181	0.940000	0.084079	340.0	fusion
block	4	10357	2722	560	2162	61	0.922278	0.800636	0.960000	0.085714	314.0	fusion
block	5	10819	2260	560	1700	61	0.919201	0.829383	0.980000	0.087500	309.0	fusion
random	1	10463	2616	540	2076	276	0.914634	0.775423	0.920000	0.085185	308.5	fusion
random	2	10463	2616	559	2057	279	0.911451	0.790138	0.980000	0.087657	319.0	fusion
random	3	10463	2616	604	2012	281	0.912888	0.807986	0.960000	0.079470	339.5	fusion
random	4	10463	2616	560	2056	283	0.918586	0.798135	0.980000	0.087500	320.5	fusion
random	5	10464	2615	536	2079	280	0.914973	0.790049	0.960000	0.089552	308.5	fusion
block	1	10543	2536	560	1976	61	0.930810	0.834255	0.980000	0.087500	309.5	fusion_plus_msrm
block	2	10397	2682	560	2122	62	0.932302	0.829314	0.960000	0.085714	312.5	fusion_plus_msrm
block	3	10200	2879	559	2320	69	0.921660	0.792055	0.960000	0.085868	327.0	fusion_plus_msrm
block	4	10357	2722	560	2162	61	0.940035	0.826839	0.960000	0.085714	315.5	fusion_plus_msrm
block	5	10819	2260	560	1700	61	0.934463	0.851978	0.960000	0.085714	305.5	fusion_plus_msrm
random	1	10463	2616	540	2076	276	0.934756	0.809117	0.900000	0.083333	311.5	fusion_plus_msrm
random	2	10463	2616	559	2057	279	0.934668	0.843598	1.000000	0.089445	298.0	fusion_plus_msrm
random	3	10463	2616	604	2012	281	0.927785	0.838182	0.980000	0.081126	330.5	fusion_plus_msrm
random	4	10463	2616	560	2056	283	0.935805	0.830679	0.980000	0.087500	317.0	fusion_plus_msrm
random	5	10464	2615	536	2079	280	0.932209	0.823056	1.000000	0.093284	304.0	fusion_plus_msrm
