export_id	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	longitude	latitude	bbox_epsg4326	tile_side_m	wms_source	wms_base	wms_layer	target_png_path	training_use	width_px_requested	height_px_requested	status	image_status	actual_width_px	actual_height_px	image_mode	bytes	attempts	error	wms_url	generated_at
weak-chip-export-v1-00001	wl-tile-v1-09842	wl-neg-neg-pt-dgpc-109485	neg-pt-dgpc-109485	0	hard_negative	train	PT	Abobeleira	-7.489830001785641	41.757862138830525	-7.49291282,41.75556246,-7.48674718,41.76016182	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09842-neg-pt-dgpc-109485.png	weak_label_candidate_for_model_v1	512	512	downloaded	valid	512	512	P	239749	1		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-7.49291282%2C41.75556246%2C-7.48674718%2C41.76016182&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00002	wl-tile-v1-06178	wl-neg-neg-es-pba-38894	neg-es-pba-38894	0	hard_negative	train	ES	A Chousa das Minas	-7.3897982426282	43.12909719993429	-7.39294928,43.12679752,-7.38664720,43.13139688	512	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-06178-neg-es-pba-38894.png	weak_label_candidate_for_model_v1	512	512	downloaded	valid	512	512	RGB	650701	1		https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-7.39294928%2C43.12679752%2C-7.38664720%2C43.13139688&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00003	wl-tile-v1-11750	wl-pos-pos-pt-dgpc-108223	pos-pt-dgpc-108223	1	positive	train	PT	Alto do Castro	-6.76239540793134	41.86987925122878	-6.76548362,41.86757957,-6.75930719,41.87217893	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/train/positive/wl-tile-v1-11750-pos-pt-dgpc-108223.png	weak_label_candidate_for_model_v1	512	512	downloaded	valid	512	512	P	250787	1		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-6.76548362%2C41.86757957%2C-6.75930719%2C41.87217893&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00004	wl-tile-v1-10378	wl-pos-pos-es-pba-20474	pos-es-pba-20474	1	positive	train	ES	A Ameixeira/Castro de Caselas/O Terreo	-8.82026876513195	43.04744561949523	-8.82341561,43.04514594,-8.81712192,43.04974530	512	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	data/external/weak-label-chips-v1/train/positive/wl-tile-v1-10378-pos-es-pba-20474.png	weak_label_candidate_for_model_v1	512	512	downloaded	valid	512	512	RGB	638260	1		https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.82341561%2C43.04514594%2C-8.81712192%2C43.04974530&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00005	wl-tile-v1-13481	wl-neg-neg-pt-dgpc-108107	neg-pt-dgpc-108107	0	hard_negative	val	PT	Abrigo 11 da Ribeira da Cabreira/ Ribeira da Cabreira 11	-7.297940351536222	41.5054335321567	-7.30101112,41.50313386,-7.29486958,41.50773321	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/val/negative/wl-tile-v1-13481-neg-pt-dgpc-108107.png	weak_label_candidate_for_model_v1	512	512	downloaded	valid	512	512	P	256848	1		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-7.30101112%2C41.50313386%2C-7.29486958%2C41.50773321&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00006	wl-tile-v1-12402	wl-neg-neg-es-pba-30584	neg-es-pba-30584	0	hard_negative	val	ES	A Leira da Cova	-7.820285216768046	43.16456222677901	-7.82343809,43.16226255,-7.81713235,43.16686190	512	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	data/external/weak-label-chips-v1/val/negative/wl-tile-v1-12402-neg-es-pba-30584.png	weak_label_candidate_for_model_v1	512	512	downloaded	valid	512	512	RGB	685615	1		https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-7.82343809%2C43.16226255%2C-7.81713235%2C43.16686190&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00007	wl-tile-v1-13864	wl-pos-pos-pt-dgpc-109197	pos-pt-dgpc-109197	1	positive	val	PT	Abrigo do Castro	-8.17527350660433	41.61669469484282	-8.17834957,41.61439502,-8.17219745,41.61899437	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/val/positive/wl-tile-v1-13864-pos-pt-dgpc-109197.png	weak_label_candidate_for_model_v1	512	512	downloaded	valid	512	512	P	248045	1		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-8.17834957%2C41.61439502%2C-8.17219745%2C41.61899437&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00008	wl-tile-v1-13760	wl-pos-pos-es-pba-50561	pos-es-pba-50561	1	positive	val	ES	A Cidá/O Castro/O Monte da Cidá	-7.690935175991989	42.08279620584452	-7.69403373,42.08049653,-7.68783662,42.08509588	512	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	data/external/weak-label-chips-v1/val/positive/wl-tile-v1-13760-pos-es-pba-50561.png	weak_label_candidate_for_model_v1	512	512	downloaded	valid	512	512	RGB	571955	1		https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-7.69403373%2C42.08049653%2C-7.68783662%2C42.08509588&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00009	wl-tile-v1-01903	wl-neg-neg-pt-dgpc-113424	neg-pt-dgpc-113424	0	hard_negative	test	PT	Abelheira 1	-7.321290387656841	41.4478361782027	-7.32435843,41.44553650,-7.31822235,41.45013585	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/test/negative/wl-tile-v1-01903-neg-pt-dgpc-113424.png	weak_label_candidate_for_model_v1	512	512	downloaded	valid	512	512	P	251330	1		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-7.32435843%2C41.44553650%2C-7.31822235%2C41.45013585&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00010	wl-tile-v1-00352	wl-neg-neg-es-pba-12350	neg-es-pba-12350	0	hard_negative	test	ES	A Burata	-8.132352623858308	42.95866189949462	-8.13549492,42.95636222,-8.12921033,42.96096158	512	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	data/external/weak-label-chips-v1/test/negative/wl-tile-v1-00352-neg-es-pba-12350.png	weak_label_candidate_for_model_v1	512	512	downloaded	valid	512	512	RGB	591218	1		https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.13549492%2C42.95636222%2C-8.12921033%2C42.96096158&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00011	wl-tile-v1-02506	wl-pos-pos-pt-dgpc-105226	pos-pt-dgpc-105226	1	positive	test	PT	Arados/Castro de Arados	-8.22727255153935	41.09774779419848	-8.23032418,41.09544812,-8.22422092,41.10004747	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/test/positive/wl-tile-v1-02506-pos-pt-dgpc-105226.png	weak_label_candidate_for_model_v1	512	512	downloaded	valid	512	512	P	243798	1		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-8.23032418%2C41.09544812%2C-8.22422092%2C41.10004747&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
