export_id	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	longitude	latitude	bbox_epsg4326	tile_side_m	wms_source	wms_base	wms_layer	target_png_path	training_use	width_px_requested	height_px_requested	status	image_status	actual_width_px	actual_height_px	image_mode	bytes	attempts	error	wms_url	generated_at
weak-chip-export-v1-00001	wl-tile-v1-09842	wl-neg-neg-pt-dgpc-109485	neg-pt-dgpc-109485	0	hard_negative	train	PT	Abobeleira	-7.489830001785641	41.757862138830525	-7.49291282,41.75556246,-7.48674718,41.76016182	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09842-neg-pt-dgpc-109485.png	weak_label_candidate_for_model_v1	512	512	exists	valid	512	512	P	239749	0		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-7.49291282%2C41.75556246%2C-7.48674718%2C41.76016182&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00002	wl-tile-v1-09671	wl-neg-neg-pt-dgpc-113998	neg-pt-dgpc-113998	0	hard_negative	train	PT	Albergaria de Amarante	-8.082978847149942	41.274269818167234	-8.08603872,41.27197014,-8.07991898,41.27656949	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09671-neg-pt-dgpc-113998.png	weak_label_candidate_for_model_v1	512	512	exists	valid	512	512	P	233550	0		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-8.08603872%2C41.27197014%2C-8.07991898%2C41.27656949&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00003	wl-tile-v1-09786	wl-neg-neg-pt-dgpc-112388	neg-pt-dgpc-112388	0	hard_negative	train	PT	Almas 1	-8.553205857286674	41.95400290331258	-8.55629814,41.95170323,-8.55011357,41.95630258	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09786-neg-pt-dgpc-112388.png	weak_label_candidate_for_model_v1	512	512	exists	valid	512	512	P	244832	0		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-8.55629814%2C41.95170323%2C-8.55011357%2C41.95630258&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00004	wl-tile-v1-09787	wl-neg-neg-pt-dgpc-112389	neg-pt-dgpc-112389	0	hard_negative	train	PT	Almas 2	-8.552904773365952	41.955007982851846	-8.55599711,41.95270831,-8.54981244,41.95730766	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09787-neg-pt-dgpc-112389.png	weak_label_candidate_for_model_v1	512	512	exists	valid	512	512	P	246629	0		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-8.55599711%2C41.95270831%2C-8.54981244%2C41.95730766&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00005	wl-tile-v1-09789	wl-neg-neg-pt-dgpc-112391	neg-pt-dgpc-112391	0	hard_negative	train	PT	Almas 3	-8.553064141079286	41.95534727281584	-8.55615649,41.95304760,-8.54997179,41.95764695	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09789-neg-pt-dgpc-112391.png	weak_label_candidate_for_model_v1	512	512	exists	valid	512	512	P	247192	0		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-8.55615649%2C41.95304760%2C-8.54997179%2C41.95764695&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00006	wl-tile-v1-09860	wl-neg-neg-pt-dgpc-110210	neg-pt-dgpc-110210	0	hard_negative	train	PT	Alto da Raia	-7.892501639057414	41.92646548844683	-7.89559259,41.92416581,-7.88941069,41.92876517	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09860-neg-pt-dgpc-110210.png	weak_label_candidate_for_model_v1	512	512	exists	valid	512	512	P	234935	0		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-7.89559259%2C41.92416581%2C-7.88941069%2C41.92876517&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00007	wl-tile-v1-09839	wl-neg-neg-pt-dgpc-109328	neg-pt-dgpc-109328	0	hard_negative	train	PT	Alto do Circo/ Faiões	-7.422593323925045	41.748913322636895	-7.42567571,41.74661365,-7.41951094,41.75121300	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09839-neg-pt-dgpc-109328.png	weak_label_candidate_for_model_v1	512	512	exists	valid	512	512	P	245341	0		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-7.42567571%2C41.74661365%2C-7.41951094%2C41.75121300&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00008	wl-tile-v1-09665	wl-neg-neg-pt-dgpc-105104	neg-pt-dgpc-105104	0	hard_negative	train	PT	Amarante - Calçada da Misericórdia	-8.081246915917617	41.27219252605144	-8.08430669,41.26989285,-8.07818714,41.27449220	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09665-neg-pt-dgpc-105104.png	weak_label_candidate_for_model_v1	512	512	exists	valid	512	512	P	233306	0		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-8.08430669%2C41.26989285%2C-8.07818714%2C41.27449220&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00009	wl-tile-v1-09673	wl-neg-neg-pt-dgpc-114810	neg-pt-dgpc-114810	0	hard_negative	train	PT	Amarante - Ponte de Santa Luzia	-8.082811750155177	41.272125516765286	-8.08587152,41.26982584,-8.07975198,41.27442519	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09673-neg-pt-dgpc-114810.png	weak_label_candidate_for_model_v1	512	512	exists	valid	512	512	P	235960	0		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-8.08587152%2C41.26982584%2C-8.07975198%2C41.27442519&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
weak-chip-export-v1-00010	wl-tile-v1-09533	wl-neg-neg-pt-dgpc-109231	neg-pt-dgpc-109231	0	hard_negative	train	PT	Anjo da Guarda São Miguel-o-Anjo	-8.346639411620394	41.61905339405689	-8.34971558,41.61675372,-8.34356324,41.62135307	512	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09533-neg-pt-dgpc-109231.png	weak_label_candidate_for_model_v1	512	512	exists	valid	512	512	P	233564	0		https://cartografia.dgterritorio.gov.pt/wms/ortos2021?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=Ortos2021-RGB&STYLES=&SRS=EPSG%3A4326&BBOX=-8.34971558%2C41.61675372%2C-8.34356324%2C41.62135307&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false	2026-08-01T00:00:00Z
