sample_id	bank_id	label_class	label_role	weak_label_status	weak_label_reason	final_split	split_family	spatial_block_id	country	region	province_or_district	municipality	parish	place	name	source	source_quality	source_record_id	source_code	typology	generic_type	periods	longitude	latitude	coord_precision	positive_confidence	morphology_proxy	terrain_context_proxy	negative_type	negative_confidence	review_priority	source_training_use	proposed_radius_m	bbox_epsg4326	visual_ring_signal_score	visual_ring_signal_tier	metric_eval_use	training_use	recommended_sampling_weight	generated_at
wl-pos-pos-es-pba-3570	pos-es-pba-3570	1	positive	exclude_probable_name_false_positive	name/type looks like modern or non-castro heritage item	excluded_review	excluded	ES|A Coruña|A Capela	ES	Galicia	A Coruña	A Capela	Caaveiro (San Boulo)	Ameneiro, O	Mámoa de Castro Pepín 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	3570	GA15018005		-		-7.9999990098048395	43.46820166773202	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review			P2	positive_seed_requires_qgis_boundary_review	110.0	-8.00316767,43.46590199,-7.99683035,43.47050134				exclude_until_independent_label_review	0.00	2026-08-01T00:00:00Z
wl-pos-pos-es-pba-3599	pos-es-pba-3599	1	positive	exclude_probable_name_false_positive	name/type looks like modern or non-castro heritage item	excluded_review	excluded	ES|A Coruña|A Capela	ES	Galicia	A Coruña	A Capela	Caaveiro (San Boulo)	Ameneiro, O	Mámoa de Castro Pepín 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	3599	GA15018025		-		-7.999391117173554	43.46743914032811	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review			P2	positive_seed_requires_qgis_boundary_review	110.0	-8.00255974,43.46513946,-7.99622249,43.46973882				exclude_until_independent_label_review	0.00	2026-08-01T00:00:00Z
wl-pos-pos-es-pba-3600	pos-es-pba-3600	1	positive	exclude_probable_name_false_positive	name/type looks like modern or non-castro heritage item	excluded_review	excluded	ES|A Coruña|A Capela	ES	Galicia	A Coruña	A Capela	Caaveiro (San Boulo)	Ameneiro, O	Mámoa de Castro Pepín 3	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	3600	GA15018026		-		-8.00006633236926	43.466905430059086	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review			P2	positive_seed_requires_qgis_boundary_review	110.0	-8.00323493,43.46460575,-7.99689774,43.46920511				exclude_until_independent_label_review	0.00	2026-08-01T00:00:00Z
wl-pos-pos-es-pba-7047	pos-es-pba-7047	1	positive	exclude_probable_name_false_positive	name/type looks like modern or non-castro heritage item	excluded_review	excluded	ES|A Coruña|A Coruña	ES	Galicia	A Coruña	A Coruña	A Coruña	A Coruña	Edificio na rúa Castro Chané 10	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	7047	-		-		-8.40543779665466	43.35614539321468	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review			P2	positive_seed_requires_qgis_boundary_review	110.0	-8.40860060,43.35384572,-8.40227499,43.35844507				exclude_until_independent_label_review	0.00	2026-08-01T00:00:00Z
wl-pos-pos-es-pba-7048	pos-es-pba-7048	1	positive	exclude_probable_name_false_positive	name/type looks like modern or non-castro heritage item	excluded_review	excluded	ES|A Coruña|A Coruña	ES	Galicia	A Coruña	A Coruña	A Coruña	A Coruña	Edificio na rúa Castro Chané 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	7048	-		-		-8.405006792983873	43.356053106777296	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review			P2	positive_seed_requires_qgis_boundary_review	110.0	-8.40816959,43.35375343,-8.40184399,43.35835278				exclude_until_independent_label_review	0.00	2026-08-01T00:00:00Z
wl-pos-pos-es-pba-7049	pos-es-pba-7049	1	positive	exclude_probable_name_false_positive	name/type looks like modern or non-castro heritage item	excluded_review	excluded	ES|A Coruña|A Coruña	ES	Galicia	A Coruña	A Coruña	A Coruña	A Coruña	Edificio na rúa Castro Chané 6	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	7049	-		-		-8.405240540106387	43.35612635858059	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review			P2	positive_seed_requires_qgis_boundary_review	110.0	-8.40840334,43.35382668,-8.40207774,43.35842604				exclude_until_independent_label_review	0.00	2026-08-01T00:00:00Z
wl-pos-pos-es-pba-7050	pos-es-pba-7050	1	positive	exclude_probable_name_false_positive	name/type looks like modern or non-castro heritage item	excluded_review	excluded	ES|A Coruña|A Coruña	ES	Galicia	A Coruña	A Coruña	A Coruña	A Coruña	Edificio na rúa Castro Chané 8	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	7050	-		-		-8.40535150788978	43.35613594009878	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review			P2	positive_seed_requires_qgis_boundary_review	110.0	-8.40851431,43.35383626,-8.40218870,43.35843562				exclude_until_independent_label_review	0.00	2026-08-01T00:00:00Z
wl-pos-pos-es-pba-7450	pos-es-pba-7450	1	positive	exclude_probable_name_false_positive	name/type looks like modern or non-castro heritage item	excluded_review	excluded	ES|A Coruña|A Coruña	ES	Galicia	A Coruña	A Coruña	A Coruña	A Coruña	Casa de Rosalía de Castro	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	7450	-		-		-8.39295120648075	43.369595534137595	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review			P2	positive_seed_requires_qgis_boundary_review	110.0	-8.39611471,43.36729586,-8.38978770,43.37189521				exclude_until_independent_label_review	0.00	2026-08-01T00:00:00Z
wl-pos-pos-es-pba-7652	pos-es-pba-7652	1	positive	exclude_probable_name_false_positive	name/type looks like modern or non-castro heritage item	excluded_review	excluded	ES|A Coruña|A Coruña	ES	Galicia	A Coruña	A Coruña	A Coruña	A Coruña	Edificio rúa Rosalía de Castro 6	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	7652	-		-		-8.40744123360544	43.36584462405814	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review			P2	positive_seed_requires_qgis_boundary_review	110.0	-8.41060454,43.36354495,-8.40427792,43.36814430				exclude_until_independent_label_review	0.00	2026-08-01T00:00:00Z
wl-pos-pos-es-pba-7816	pos-es-pba-7816	1	positive	exclude_probable_name_false_positive	name/type looks like modern or non-castro heritage item	excluded_review	excluded	ES|A Coruña|A Coruña	ES	Galicia	A Coruña	A Coruña	A Coruña	A Coruña	Farois de fundición do Teatro Rosalía de Castro	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	7816	-		-		-8.39862089475319	43.37040887755544	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review			P2	positive_seed_requires_qgis_boundary_review	110.0	-8.40178444,43.36810920,-8.39545735,43.37270855				exclude_until_independent_label_review	0.00	2026-08-01T00:00:00Z
wl-pos-pos-es-pba-7821	pos-es-pba-7821	1	positive	exclude_probable_name_false_positive	name/type looks like modern or non-castro heritage item	excluded_review	excluded	ES|A Coruña|A Coruña	ES	Galicia	A Coruña	A Coruña	Elviña (San Vicenzo)	Castro de Elviña, O	Hórreo no Castro de Elviña 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	7821	-		HOR		-8.411169499925373	43.33000791084765	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review			P2	positive_seed_requires_qgis_boundary_review	110.0	-8.41433094,43.32770823,-8.40800806,43.33230759				exclude_until_independent_label_review	0.00	2026-08-01T00:00:00Z
wl-pos-pos-es-pba-7822	pos-es-pba-7822	1	positive	exclude_probable_name_false_positive	name/type looks like modern or non-castro heritage item	excluded_review	excluded	ES|A Coruña|A Coruña	ES	Galicia	A Coruña	A Coruña	Elviña (San Vicenzo)	Castro de Elviña, O	Hórreo no Castro de Elviña 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	7822	-		HOR		-8.411119727972357	43.33005267730097	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review			P2	positive_seed_requires_qgis_boundary_review	110.0	-8.41428117,43.32775300,-8.40795828,43.33235235				exclude_until_independent_label_review	0.00	2026-08-01T00:00:00Z
wl-pos-pos-es-pba-7823	pos-es-pba-7823	1	positive	exclude_probable_name_false_positive	name/type looks like modern or non-castro heritage item	excluded_review	excluded	ES|A Coruña|A Coruña	ES	Galicia	A Coruña	A Coruña	Elviña (San Vicenzo)	Castro de Elviña, O	Hórreo no Castro de Elviña 3	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	7823	-		HOR		-8.409818312756084	43.32942465597413	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review			P2	positive_seed_requires_qgis_boundary_review	110.0	-8.41297973,43.32712498,-8.40665690,43.33172433				exclude_until_independent_label_review	0.00	2026-08-01T00:00:00Z
