dataset	field	value	count
master	label_role	hard_negative	10845
master	label_role	positive	3929
master	label_class	0	10845
master	label_class	1	3929
master	weak_label_status	exclude_ambiguous_positive_seed	87
master	weak_label_status	exclude_low_toponymic_review	1
master	weak_label_status	exclude_probable_name_false_positive	770
master	weak_label_status	weak_hard_negative_candidate	10845
master	weak_label_status	weak_positive_candidate	3071
master	final_split	excluded_review	858
master	final_split	test	2530
master	final_split	test_o_val	5
master	final_split	test_trasancos	199
master	final_split	train	9145
master	final_split	val	2037
master	country	ES	13910
master	country	PT	864
master	province_or_district	A Coruña	4609
master	province_or_district	Braga	228
master	province_or_district	Bragança	141
master	province_or_district	Lugo	4261
master	province_or_district	Ourense	1325
master	province_or_district	Pontevedra	3715
master	province_or_district	Porto	152
master	province_or_district	Viana do Castelo	203
master	province_or_district	Vila Real	140
master	morphology_proxy	-	10845
master	morphology_proxy	castrel_toponym_hint	135
master	morphology_proxy	coastal_promontory_hint	197
master	morphology_proxy	croa_top_ring_hint	163
master	morphology_proxy	earthwork_or_wall_hint	221
master	morphology_proxy	generic_castro_hint	2701
master	morphology_proxy	hilltop_hint	415
master	morphology_proxy	large_castrexo_civitas_hint	24
master	morphology_proxy	valley_or_river_edge_hint	73
master	negative_type	-	3929
master	negative_type	historic_fortification	81
master	negative_type	historic_fortification;roman_built_context	2
master	negative_type	megalithic_mound	7521
master	negative_type	megalithic_mound;rock_art_surface	11
master	negative_type	mining_or_quarry	161
master	negative_type	necropolis_or_burial	118
master	negative_type	necropolis_or_burial;roman_built_context	22
master	negative_type	rock_art_surface	2706
master	negative_type	rock_art_surface;roman_built_context	3
master	negative_type	roman_built_context	220
master	review_priority	P0	8070
master	review_priority	P1	1183
master	review_priority	P2	5521
model_candidates	label_role	hard_negative	10709
model_candidates	label_role	positive	3003
model_candidates	label_class	0	10709
model_candidates	label_class	1	3003
model_candidates	weak_label_status	weak_hard_negative_candidate	10709
model_candidates	weak_label_status	weak_positive_candidate	3003
model_candidates	final_split	test	2530
model_candidates	final_split	train	9145
model_candidates	final_split	val	2037
model_candidates	country	ES	12875
model_candidates	country	PT	837
model_candidates	province_or_district	A Coruña	4061
model_candidates	province_or_district	Braga	226
model_candidates	province_or_district	Bragança	120
model_candidates	province_or_district	Lugo	4027
model_candidates	province_or_district	Ourense	1224
model_candidates	province_or_district	Pontevedra	3563
model_candidates	province_or_district	Porto	152
model_candidates	province_or_district	Viana do Castelo	202
model_candidates	province_or_district	Vila Real	137
model_candidates	morphology_proxy	-	10709
model_candidates	morphology_proxy	castrel_toponym_hint	26
model_candidates	morphology_proxy	coastal_promontory_hint	136
model_candidates	morphology_proxy	croa_top_ring_hint	130
model_candidates	morphology_proxy	earthwork_or_wall_hint	220
model_candidates	morphology_proxy	generic_castro_hint	2022
model_candidates	morphology_proxy	hilltop_hint	382
model_candidates	morphology_proxy	large_castrexo_civitas_hint	22
model_candidates	morphology_proxy	valley_or_river_edge_hint	65
model_candidates	negative_type	-	3003
model_candidates	negative_type	historic_fortification	81
model_candidates	negative_type	historic_fortification;roman_built_context	2
model_candidates	negative_type	megalithic_mound	7388
model_candidates	negative_type	megalithic_mound;rock_art_surface	11
model_candidates	negative_type	mining_or_quarry	161
model_candidates	negative_type	necropolis_or_burial	118
model_candidates	negative_type	necropolis_or_burial;roman_built_context	22
model_candidates	negative_type	rock_art_surface	2703
model_candidates	negative_type	rock_art_surface;roman_built_context	3
model_candidates	negative_type	roman_built_context	220
model_candidates	review_priority	P0	7873
model_candidates	review_priority	P1	1000
model_candidates	review_priority	P2	4839
holdouts	label_role	hard_negative	136
holdouts	label_role	positive	68
holdouts	label_class	0	136
holdouts	label_class	1	68
holdouts	weak_label_status	weak_hard_negative_candidate	136
holdouts	weak_label_status	weak_positive_candidate	68
holdouts	final_split	test_o_val	5
holdouts	final_split	test_trasancos	199
holdouts	country	ES	204
holdouts	province_or_district	A Coruña	204
holdouts	morphology_proxy	-	136
holdouts	morphology_proxy	castrel_toponym_hint	2
holdouts	morphology_proxy	coastal_promontory_hint	5
holdouts	morphology_proxy	croa_top_ring_hint	10
holdouts	morphology_proxy	generic_castro_hint	46
holdouts	morphology_proxy	hilltop_hint	4
holdouts	morphology_proxy	valley_or_river_edge_hint	1
holdouts	negative_type	-	68
holdouts	negative_type	megalithic_mound	133
holdouts	negative_type	rock_art_surface	3
holdouts	review_priority	P0	138
holdouts	review_priority	P1	17
holdouts	review_priority	P2	49
excluded	label_role	positive	858
excluded	label_class	1	858
excluded	weak_label_status	exclude_ambiguous_positive_seed	87
excluded	weak_label_status	exclude_low_toponymic_review	1
excluded	weak_label_status	exclude_probable_name_false_positive	770
excluded	final_split	excluded_review	858
excluded	country	ES	831
excluded	country	PT	27
excluded	province_or_district	A Coruña	344
excluded	province_or_district	Braga	2
excluded	province_or_district	Bragança	21
excluded	province_or_district	Lugo	234
excluded	province_or_district	Ourense	101
excluded	province_or_district	Pontevedra	152
excluded	province_or_district	Viana do Castelo	1
excluded	province_or_district	Vila Real	3
excluded	morphology_proxy	castrel_toponym_hint	107
excluded	morphology_proxy	coastal_promontory_hint	56
excluded	morphology_proxy	croa_top_ring_hint	23
excluded	morphology_proxy	earthwork_or_wall_hint	1
excluded	morphology_proxy	generic_castro_hint	633
excluded	morphology_proxy	hilltop_hint	29
excluded	morphology_proxy	large_castrexo_civitas_hint	2
excluded	morphology_proxy	valley_or_river_edge_hint	7
excluded	negative_type	-	858
excluded	review_priority	P0	59
excluded	review_priority	P1	166
excluded	review_priority	P2	633
