sample_id	bank_id	label_class	label_role	weak_label_status	weak_label_reason	final_split	split_family	spatial_block_id	country	region	province_or_district	municipality	parish	place	name	source	source_quality	source_record_id	source_code	typology	generic_type	periods	longitude	latitude	coord_precision	positive_confidence	morphology_proxy	terrain_context_proxy	negative_type	negative_confidence	review_priority	source_training_use	proposed_radius_m	bbox_epsg4326	visual_ring_signal_score	visual_ring_signal_tier	metric_eval_use	training_use	recommended_sampling_weight	generated_at
wl-neg-neg-es-pba-1011	neg-es-pba-1011	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Carballeira, A	Mámoa do Campo da Feira 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1011	GA15007041		-		-8.802383320794284	42.97823381289309	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.80552662,42.97593414,-8.79924002,42.98053349				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1012	neg-es-pba-1012	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Carballeira, A	Mámoa do Campo da Feira 3	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1012	GA15007042		-		-8.801667264713874	42.97867445839568	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.80481058,42.97637478,-8.79852394,42.98097414				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1013	neg-es-pba-1013	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Carballeira, A	Mámoa do Campo da Feira 4	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1013	GA15007043		-		-8.802594794144817	42.97749794155593	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.80573805,42.97519826,-8.79945153,42.97979762				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1014	neg-es-pba-1014	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Ferreiros	Mámoa do Campo da Feira 5	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1014	GA15007044		-		-8.803037306184562	42.97720589689369	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.80618055,42.97490622,-8.79989406,42.97950557				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1015	neg-es-pba-1015	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Campelo	Mámoa do Campo da Tilla	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1015	GA15007046		-		-8.82896542585271	42.98186884477315	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.83210891,42.97956917,-8.82582194,42.98416852				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1016	neg-es-pba-1016	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	Cabanas (San Miguel)	Cabanas	Mámoa do Campo do Pozo	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1016	GA15007011		-		-8.720117612650618	42.989775879261074	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.72326150,42.98747620,-8.71697372,42.99207556				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1017	neg-es-pba-1017	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	Marcelle (Santa Cristina)	Outeiro	Mámoa do Campo Redondo	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1017	GA15007024		-		-8.736837391901027	42.98644219973902	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.73998111,42.98414252,-8.73369367,42.98874188				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1018	neg-es-pba-1018	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	O Barro (Santa Mariña)	Redollo, O	Mámoa do Cotón Grande 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1018	GA15007021		-		-8.728526515023171	42.978885500795855	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.73166985,42.97658582,-8.72538318,42.98118518				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1019	neg-es-pba-1019	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	Cabanas (San Miguel)	Redollo, O	Mámoa do Cotón Grande 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1019	GA15007022		-		-8.728858880453322	42.97981259983861	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.73200226,42.97751292,-8.72571550,42.98211228				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1047	neg-es-pba-1047	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	Cabanas (San Miguel)	Redollo, O	Mámoa do Cotón Grande 3	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1047	GA15007023		-		-8.728804184807188	42.98004845110305	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.73194758,42.97774877,-8.72566079,42.98234813				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1048	neg-es-pba-1048	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	Marcelle (Santa Cristina)	Redollo, O	Mámoa do Cotón Grande 4	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1048	GA15007033		-		-8.731161306420104	42.98185881277688	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.73430479,42.97955914,-8.72801782,42.98415849				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1049	neg-es-pba-1049	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	Marcelle (Santa Cristina)	Outeiro	Mámoa do Cruceiro Grande 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1049	GA15007051		-		-8.741728223250695	42.99597525574656	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.74487243,42.99367558,-8.73858402,42.99827493				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1050	neg-es-pba-1050	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	Marcelle (Santa Cristina)	Outeiro	Mámoa do Cruceiro Grande 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1050	GA15007052		-		-8.741704985348978	42.99644716278067	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.74484921,42.99414749,-8.73856076,42.99874684				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1051	neg-es-pba-1051	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	Troitosende (Santa María)	Bugalleira	Mámoa do Monte da Medorra 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1051	GA15007003		-		-8.683146846467071	42.961503140345656	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.68628929,42.95920346,-8.68000440,42.96380282				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1052	neg-es-pba-1052	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	Troitosende (Santa María)	Bugalleira	Mámoa do Monte da Medorra 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1052	GA15007004	Túmulo/Mámoa	-		-8.683428616790648	42.959632746717645	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.68657096,42.95733307,-8.68028627,42.96193242				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1053	neg-es-pba-1053	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	A Ermida (San Salvador)	Cruceiro, O	Mámoa dos Pasos do Río	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1053	GA15007017		-		-8.80492615440705	42.99562040509843	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.80807034,42.99332073,-8.80178197,42.99792008				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1086	neg-es-pba-1086	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	Barcala (San Xoán)	Emes	Pedrafita de Pedra Alba	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1086	GA15007079		-		-8.76070566165844	42.944394513050355	catalogue_point_wgs84				megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	hard_negative_candidate_requires_qgis_review	45.0	-8.76384723,42.94209484,-8.75756409,42.94669419				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1087	neg-es-pba-1087	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	Corneira (San Cristovo)	Ferraces	Petróglifo da Lagoa 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1087	RE15007006		ARU		-8.795281305956646	42.96902595271614	catalogue_point_wgs84				rock_art_surface	official_non_castro_heritage_needs_visual_review	P2	hard_negative_candidate_requires_qgis_review	35.0	-8.79842413,42.96672628,-8.79213848,42.97132563				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
wl-neg-neg-es-pba-1088	neg-es-pba-1088	0	hard_negative	weak_hard_negative_candidate	official non-castro heritage distractor	train	regular_spatial_block	ES|A Coruña|A Baña	ES	Galicia	A Coruña	A Baña	Corneira (San Cristovo)	Ferraces	Petróglifo da Lagoa 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	1088	RE15007007		ARU		-8.791724565190442	42.969199648083475	catalogue_point_wgs84				rock_art_surface	official_non_castro_heritage_needs_visual_review	P2	hard_negative_candidate_requires_qgis_review	35.0	-8.79486740,42.96689997,-8.78858173,42.97149932				weak_label_candidate_for_model_v1	0.60	2026-08-01T00:00:00Z
