nome	concello	parroquia	lugar	id_ipaga	cod_impres	tipoloxia	xenerico	ficha	x	y	lon_wgs84	lat_wgs84	observacio
Castro das Pías/Castro de Cardoeiro	Fene	Perlío (Santo Estevo)	Cruceiro, O	GA15035011	Fene_9327	Castro	-	X	567002	4813818	-8.171572505093756	43.47427554901182	SI.2021.392.INV: Localización e duplicado
Castro de Barallobre	Fene	Barallobre (Santiago)	Loureiros, Os	GA15035010	Fene_9328		-	XI	566432	4812679	-8.178759499653474	43.46407350807626	
Castro de Magalofes	Fene	Magalofes (San Xurxo)	Fontenova, A	GA15035007	Fene_9329		-	XXVI	568992	4811215	-8.147308718619547	43.45066167519628	
Castro de Orra	Fene	Sillobre (Santa Mariña)	Orra	GA15035009	Fene_9330		-	IX	568538	4813489	-8.152626845317162	43.47117366486548	
Castro de Prismos	Fene	Maniños (San Salvador)	Prismos	GA15035008	Fene_9331		-	XXVII	566198	4810600	-8.181906273273144	43.445376672260515	
Castro do Río Castro	Fene	Limodre (Santa Baia)	Río Castro	GA15035012	Fene_9332		-	XXXI	565864	4808219	-8.186321260418124	43.42396916091138	
Conxunto de restos paleolíticos de Praia de Maniños	Fene	Maniños (San Salvador)	Souto da Ribeira, O	GA15035014	Fene_9342	Xacemento Paleolítico	-	VII	564736	4812363	-8.199760456579604	43.461377959453834	SI.2021.392.INV: Localización e duplicado
Lavadoiro Casas de Castro	Fene	Maniños (San Salvador)	Abeledo, O	-	Fene_9425		-	123	564906	4811416	-8.197774011708049	43.452836162624216	
Lavadoiro en Castro	Fene	Sillobre (Santa Mariña)	Orra	-	Fene_9432		-	172	568489	4813591	-8.153220148573043	43.47209926408723	
Mámoa do Monte Marraxón I-1	Fene	Sillobre (Santa Mariña)	Reboredo, O	GA15035001	Fene_9448		-	XII	570414	4813736	-8.129405105815305	43.47322342871526	
Mámoa do Monte Marraxón I-2	Fene	Sillobre (Santa Mariña)	Reboredo, O	GA15035013	Fene_9449	Mámoa/Túmulo	-	XIII	569869	4814961	-8.135980367490042	43.48430886721332	Si.2021.392.INV
Mámoa do Monte Marraxón I-3	Fene	Sillobre (Santa Mariña)	Reboredo, O	GA15035017	Fene_9450		-	XIV	570449	4813770	-8.128966079674703	43.47352701685848	
Mámoa do Monte Marraxón I-4	Fene	Sillobre (Santa Mariña)		GA15035018	Fene_9451		-	XV	570362	4813757	-8.130049105768018	43.4734183190081	
Mámoa do Monte Marraxón I-5	Fene	Sillobre (Santa Mariña)	Reboredo, O	GA15035019	Fene_9452		-	XVI	570348	4813787	-8.130207231944917	43.47369038170261	
Mámoa do Monte Marraxón I-6	Fene	Sillobre (Santa Mariña)	Reboredo, O	GA15035020	Fene_9453		-	XVII	570306	4813776	-8.130729717836411	43.47359625612157	
