site_id	primary_name	municipality	parish	current_dataset_use	decision	reason	pba_name	pba_municipality	pba_parish	pba_place	pba_id_ipaga	pba_cod_impres	pba_tipoloxia	pba_x_etrs89_utm29	pba_y_etrs89_utm29	pba_lon_wgs84	pba_lat_wgs84	pba_observacio
tra-fene-almieiras	Castro de Almieiras	Fene	Santa Eulalia de Limodre	positive_damaged_review	still_blocked	No PBA catalogue hit for Almieiras/Limodre in the queried fields.												
tra-fene-fontenova	Castro de Fontenova	Fene	San Xurxo de Magalofes	needs_geocoding	duplicate_or_alias	PBA has Castro de Magalofes at A Fontenova; dataset already has GA15035007 as a separate row.	Castro de Magalofes	Fene	Magalofes (San Xurxo)	Fontenova, A	GA15035007	Fene_9329		568992	4811215	-8.147308718619547	43.45066167519628	
tra-fene-ga15035011	Castro de Cordoeiro	Fene	Perlío	needs_geocoding	coordinate_for_review_reconcile_duplicate	Exact code match, but PBA names it Castro das Pias/Castro de Cardoeiro and flags location/duplicate in OBSERVACIO.	Castro das Pías/Castro de Cardoeiro	Fene	Perlío (Santo Estevo)	Cruceiro, O	GA15035011	Fene_9327	Castro	567002	4813818	-8.171572505093756	43.47427554901182	SI.2021.392.INV: Localización e duplicado
tra-fene-loureiros	Castro de Loureiros	Fene	Santiago de Barallobre	positive_damaged_review	duplicate_or_alias	PBA has Castro de Barallobre in Os Loureiros; treat the Pena row as a damaged/alias row to reconcile.	Castro de Barallobre	Fene	Barallobre (Santiago)	Loureiros, Os	GA15035010	Fene_9328		566432	4812679	-8.178759499653474	43.46407350807626	
tra-fene-ovra	Castro de Ovra	Fene	Santa María de Sillobre	needs_geocoding	duplicate_or_alias	PBA has Castro de Orra in Sillobre; likely Ovra/Orra spelling reconciliation, not a new site.	Castro de Orra	Fene	Sillobre (Santa Mariña)	Orra	GA15035009	Fene_9330		568538	4813489	-8.152626845317162	43.47117366486548	
tra-fene-re15035002	Castro do Sartego	Fene	Fene	positive_damaged_review	still_blocked	No PBA hit for RE15035002 or Castro do Sartego; only an unrelated Sartego da Fonte dos Mouros achado appears.												
tra-fene-san-esteban-de-perlio	Castro de San Esteban de Perlío	Fene		positive_damaged_review	duplicate_possible_needs_human	Likely points toward the As Pias/Cardoeiro/Cordoeiro cluster, but name-only evidence is too weak to geocode automatically.	Castro das Pías/Castro de Cardoeiro	Fene	Perlío (Santo Estevo)	Cruceiro, O	GA15035011	Fene_9327	Castro	567002	4813818	-8.171572505093756	43.47427554901182	SI.2021.392.INV: Localización e duplicado
tra-ferrol-canido	Castro de Canido	Ferrol		positive_damaged_review	coordinate_for_damaged_review	Exact PBA reference-name match; keep review-only because the source row is marked damaged/disappeared.	Castro de Canido	Ferrol	Ferrol	Ferrol	RE15036007	Ferrol_9721		561238	4814819	-8.242723079720715	43.48378570961132	
tra-ferrol-ferreiros	Castro de Ferreiros	Ferrol	Santa Uxía de Mandiá	needs_geocoding	still_blocked	PBA match for Ferreiros is a mamoa in Brion, not Castro de Ferreiros in Mandia.												
tra-ferrol-o-xeixo	Castro de O Xeixo	Ferrol	San Pedro de Leixa	needs_geocoding	duplicate_or_alias	PBA has Castro de Leixa/A Croa de Leixa in San Pedro de Leixa; likely the same target as O Xeixo.	Castro de Leixa/A Croa de Leixa	Ferrol	Leixa (San Pedro)	San Pedro de Leixa	GA15036006	Ferrol_9723		563975	4819168	-8.20836441392536	43.522706975089974	
