bucket	relevance	year	cites	venue	title	doi	oa_url	source_api	query
arq-falsos	0.5	2026	0	Remote Sensing	Finding the Features with LiDAR and SAR: Automated Detection of Archaeological Earthworks at Cahokia	10.3390/rs18132229		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-falsos	0.5	2026	0	International Journal of Scientific Research in Engineering and Management	NEXUS: An Orchestrator-Driven Automated Pentesting Platform for Modern API Architectures and False Positive Reduction	10.55041/ijsrem64449		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-transfer	0.5	2023	5	Journal of Transportation Engineering, Part A: Systems	Data-Driven Sustainability Validation of Winter Traffic Model through Spatial Transferability of the Model’s Parameters between Functionally Homogeneous and Heterogeneous Highway Segments	10.1061/jtepbs.teeng-7204		crossref	transferability archaeological detection model between regions landscapes validation
arq-transfer	0.5	2023	0	IEEE Transactions on Magnetics	Piecewise Linear Modeling for Inrush Safety Regions Detection and Its Validation Through a Preisach Model and Experimental Data	10.1109/tmag.2023.3279583		crossref	transferability archaeological detection model between regions landscapes validation
arq-falsos	0.5	2019	14	IEEE Journal of Biomedical and Health Informatics	Improved False Positive Reduction by Novel Morphological Features for Computer-Aided Polyp Detection in CT Colonography	10.1109/jbhi.2018.2808199		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-falsos	0.5	2018	2	Journal of Medical Systems	False Positive Reduction by an Annular Model as a Set of Few Features for Microcalcification Detection to Assist Early Diagnosis of Breast Cancer	10.1007/s10916-018-0989-3		crossref	archaeological lidar automated detection false positive modern features quarry reduction
desequilibrio	0.455	2026	1	Heritage	Learning from the Rare: Overcoming Class Imbalance in Archaeological Object Detection with Boosting Methods	10.3390/heritage9030099		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.455	2026	0	Network Modeling Analysis in Health Informatics and Bioinformatics	Efficient detection of rare clinical cohorts: a robust framework for extreme class imbalance in low-resource clinical text	10.1007/s13721-026-00855-8		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.455	2026	1	Advanced Engineering Informatics	A class-added rail transit infrastructure object detection method using UAV aerial imagery based on self-ensemble masks and frequency-spatial calibration	10.1016/j.aei.2025.104137		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.455	2026	2	Frontiers in Marine Science	Binary reformulation for marine debris detection in Sentinel-2 imagery: an empirical study on extreme class imbalance using the first benchmarks on combined MARIDA and MADOS datasets	10.3389/fmars.2026.1765021		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.455	2023	17	IEEE Transactions on Geoscience and Remote Sensing	MUS-CDB: Mixed Uncertainty Sampling With Class Distribution Balancing for Active Annotation in Aerial Object Detection	10.1109/tgrs.2023.3285443		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.455	2022	11	The Visual Computer	Over-sampling strategy-based class-imbalanced salient object detection and its application in underwater scene	10.1007/s00371-022-02458-6		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
arq-multimodal	0.444	2025	0	SSRN Electronic Journal	A Low-Cost, Easy-Way Workflow for Multi-Scale Archaeological Features Detection Combining LiDAR and Aerial Orthophotography	10.2139/ssrn.5091697		crossref	archaeological prospection combining digital terrain model and aerial orthophotography CNN
arq-multimodal	0.444	2021	5	Remote Sensing	A Low-Cost, Easy-Way Workflow for Multi-Scale Archaeological Features Detection Combining LiDAR and Aerial Orthophotography	10.3390/rs13214270		crossref	archaeological prospection combining digital terrain model and aerial orthophotography CNN
paisaje-moderno	0.444	2021	17	Remote Sensing	Integrating Satellite, UAV, and Ground-Based Remote Sensing in Archaeology: An Exploration of Pre-Modern Land Use in Northeastern Iraq	10.3390/rs13245119		crossref	modern land use interference archaeological remote sensing survey masking anthropogenic
paisaje-moderno	0.444	2019	12	Land Use Policy	Evaluating the effectiveness of land-use zoning for the protection of built heritage in the Bagan Archaeological Zone, Myanmar—A satellite remote-sensing approach	10.1016/j.landusepol.2019.104174		crossref	modern land use interference archaeological remote sensing survey masking anthropogenic
arq-falsos	0.4	2026	0	Signals	Sample-Wise False-Positive Reduction in ECG P-, R-, and T-Peak Detection via Physiological Temporal Constraints and Lightweight Binary Classifiers	10.3390/signals7020028		crossref	archaeological lidar automated detection false positive modern features quarry reduction
