bucket	relevance	year	cites	venue	title	doi	oa_url	source_api	query
lidar-nacional	0.6	2020	63	ISPRS International Journal of Geo-Information	Combining Deep Learning and Location-Based Ranking for Large-Scale Archaeological Prospection of LiDAR Data from The Netherlands	10.3390/ijgi9050293		crossref	national scale airborne lidar deep learning archaeological prospection computational cost
cuello-e-s	0.556	2023	35	Proceedings of the VLDB Endowment	FastFlow: Accelerating Deep Learning Model Training with Smart Offloading of Input Data Pipeline	10.14778/3579075.3579083		crossref	IO bound versus compute bound deep learning training data pipeline profiling
gpu-modesta	0.545	2025	1	Remote Sensing	Applying Deep Learning Methods for a Large-Scale Riparian Vegetation Classification from High-Resolution Multimodal Aerial Remote Sensing Data	10.3390/rs17142373		crossref	deep learning large scale remote sensing limited GPU memory consumer hardware
gpu-modesta	0.545	2023	14	Remote Sensing	A Combined Deep Learning and Prior Knowledge Constraint Approach for Large-Scale Forest Disturbance Detection Using Time Series Remote Sensing Data	10.3390/rs15122963		crossref	deep learning large scale remote sensing limited GPU memory consumer hardware
gpu-modesta	0.545	2021	23	Applied Sciences	Efficient Use of GPU Memory for Large-Scale Deep Learning Model Training	10.3390/app112110377		crossref	deep learning large scale remote sensing limited GPU memory consumer hardware
pipeline-cpu-gpu	0.5	2026	0	ACM Transactions on Architecture and Code Optimization	PctoDL: Adaptive GPU Throughput Optimization for Deep Learning Inference with Power Constraints	10.1145/3805802		crossref	overlapping data loading and GPU inference pipeline throughput bottleneck deep learning
pipeline-cpu-gpu	0.5	2025	1	International Journal of Environmental Sciences	An Explainable Deep Learning Based Data Mining Framework for Automated Data Loading Optimization and Pipeline Evaluation Using Sentiment Analysis	10.64252/yx8fzb84		crossref	overlapping data loading and GPU inference pipeline throughput bottleneck deep learning
pipeline-cpu-gpu	0.5	2025	0	Fusion Engineering and Design	A real-time GPU-accelerated deep learning inference integration pipeline and its electron density profile reconstructor pilot project for control at ASDEX upgrade	10.1016/j.fusengdes.2025.115274		crossref	overlapping data loading and GPU inference pipeline throughput bottleneck deep learning
puntos-fuera-nucleo	0.5	2022	3	Graphical Models	Out-of-core outlier removal for large-scale indoor point clouds	10.1016/j.gmod.2022.101142		crossref	out-of-core streaming point cloud processing large scale LAZ tiling
pipeline-cpu-gpu	0.5	2021	17	Journal of Systems Architecture	Memory-efficient deep learning inference with incremental weight loading and data layout reorganization on edge systems	10.1016/j.sysarc.2021.102183		crossref	overlapping data loading and GPU inference pipeline throughput bottleneck deep learning
puntos-fuera-nucleo	0.5	2020	1	Proceedings of the AAAI Conference on Artificial Intelligence	Tandem Inference: An Out-of-Core Streaming Algorithm for Very Large-Scale Relational Inference	10.1609/aaai.v34i06.6588		crossref	out-of-core streaming point cloud processing large scale LAZ tiling
gpu-modesta	0.455	2022	8	Remote Sensing	In-Memory Distributed Mosaicking for Large-Scale Remote Sensing Applications with Geo-Gridded Data Staging on Alluxio	10.3390/rs14235987		crossref	deep learning large scale remote sensing limited GPU memory consumer hardware
gpu-modesta	0.455	2021	11	Remote Sensing	Large-Scale, Multiple Level-of-Detail Change Detection from Remote Sensing Imagery Using Deep Visual Feature Clustering	10.3390/rs13091661		crossref	deep learning large scale remote sensing limited GPU memory consumer hardware
cuello-e-s	0.444	2026	1	IEEE Access	Branch-and-Bound Compressive Learning and Reconstruction of Hyperspectral Data With Deep Tucker Decomposition Using Spatial–Spectral Learning Network	10.1109/access.2026.3652604		crossref	IO bound versus compute bound deep learning training data pipeline profiling
rasterizacion-rapida	0.444	2025	6	Neurocomputing	SwiftPCN: Fast, implementation-efficient, and accurate point cloud completion network with flexible output resolution	10.1016/j.neucom.2025.129387		crossref	fast point cloud to raster DTM gridding parallel CPU implementation
cuello-e-s	0.444	2024	6	Scientific Reports	Deep learning pipeline for automated cell profiling from cyclic imaging	10.1038/s41598-024-74597-w		crossref	IO bound versus compute bound deep learning training data pipeline profiling
cuello-e-s	0.444	2024	0	Cancer Research	Abstract 3536: Paracell: A high throughput, deep learning-based pipeline for single-cell phenotypic profiling	10.1158/1538-7445.am2024-3536		crossref	IO bound versus compute bound deep learning training data pipeline profiling
cuello-e-s	0.444	2024	4	IEEE Access	Incorporating Deep Learning Model Development With an End-to-End Data Pipeline	10.1109/access.2024.3456113		crossref	IO bound versus compute bound deep learning training data pipeline profiling
rasterizacion-rapida	0.444	2023	16	Optics Express	Implementation of a full-color holographic system using RGB-D salient object detection and divided point cloud gridding	10.1364/oe.477666		crossref	fast point cloud to raster DTM gridding parallel CPU implementation
rasterizacion-rapida	0.444	2023	3	Nonlinear Theory and Its Applications, IEICE	Modified parallel nested-layer particle swarm optimization algorithm for fast bifurcation point detection and its software implementation	10.1587/nolta.14.308		crossref	fast point cloud to raster DTM gridding parallel CPU implementation
rasterizacion-rapida	0.444	2022	2	Journal of Physics: Conference Series	Fast point cloud registration algorithm using parallel computing strategy	10.1088/1742-6596/2235/1/012104		crossref	fast point cloud to raster DTM gridding parallel CPU implementation
rasterizacion-rapida	0.444	2019	23	Optics Express	Implementation of full-color holographic system using non-uniformly sampled 2D images and compressed point cloud gridding	10.1364/oe.27.029746		crossref	fast point cloud to raster DTM gridding parallel CPU implementation
cascada-barata	0.417	2021	125	IEEE Geoscience and Remote Sensing Letters	A Coarse-to-Fine Two-Stage Attentive Network for Haze Removal of Remote Sensing Images	10.1109/lgrs.2020.3006533		crossref	coarse to fine cascade cheap screening stage reduce expensive detector calls remote sensing
cascada-barata	0.417	2020	157	Remote Sensing	YOLO-Fine: One-Stage Detector of Small Objects Under Various Backgrounds in Remote Sensing Images	10.3390/rs12152501		crossref	coarse to fine cascade cheap screening stage reduce expensive detector calls remote sensing
puntos-fuera-nucleo	0.4	2026	0	IEEE Signal Processing Letters	Unsupervised Large-Scale Point Cloud Registration via Spherical Projection Consistency	10.1109/lsp.2026.3695797		crossref	out-of-core streaming point cloud processing large scale LAZ tiling
puntos-fuera-nucleo	0.4	2026	0	Journal of Cloud Computing	Edge-cloud collaborative learning for large-scale physical education data processing	10.1186/s13677-026-00922-5		crossref	out-of-core streaming point cloud processing large scale LAZ tiling
puntos-fuera-nucleo	0.4	2026	1	Measurement	Large-scale noise removal algorithm for blade point cloud normal vector similarity based on local optimal neighborhoods	10.1016/j.measurement.2025.120143		crossref	out-of-core streaming point cloud processing large scale LAZ tiling
pipeline-cpu-gpu	0.4	2026	0	Computer Networks	DeepPlus: An adaptive deadline and fairness aware scheduler for accelerating mixed deep learning training and inference workloads in GPU cluster	10.1016/j.comnet.2025.111883		crossref	overlapping data loading and GPU inference pipeline throughput bottleneck deep learning
pipeline-cpu-gpu	0.4	2026	0	Journal of Data Science and Intelligent Systems	An Asynchronous Parallel Data Loading Optimization Algorithm for Deep Learning Applications	10.47852/bonviewjdsis62027528		crossref	overlapping data loading and GPU inference pipeline throughput bottleneck deep learning
puntos-fuera-nucleo	0.4	2025	2	IET Image Processing	A Data‐Driven Solution for Large‐Scale Open‐Pit Mines Excavation Monitoring Based on 3D Point Cloud	10.1049/ipr2.70130		crossref	out-of-core streaming point cloud processing large scale LAZ tiling
puntos-fuera-nucleo	0.4	2025	6	Sensors	Efficient Large-Scale Point Cloud Geometry Compression	10.3390/s25051325		crossref	out-of-core streaming point cloud processing large scale LAZ tiling
