bucket	relevance	year	cites	venue	title	doi	oa_url	source_api	query
dominio-urbano	0.636	2025	0	International Journal of Environmental Engineering	Urban and Rural Landscape Design Analysis Technology based on Image Semantic Segmentation Deep Learning and Remote Sensing Image Processing	10.1504/ijee.2025.10073759		crossref	domain adaptation urban rural landscape deep learning remote sensing detection shift
dominio-urbano	0.636	2025	0	International Journal of Environmental Engineering	Urban and rural landscape design analysis technology based on image semantic segmentation deep learning and remote sensing image processing	10.1504/ijee.2025.151270		crossref	domain adaptation urban rural landscape deep learning remote sensing detection shift
fusion-ortofoto	0.625	2025	6	Remote Sensing	MTCDNet: Multimodal Feature Fusion-Based Tree Crown Detection Network Using UAV-Acquired Optical Imagery and LiDAR Data	10.3390/rs17121996		crossref	multimodal fusion lidar relief and orthophoto archaeological feature detection
prospeccion-precision	0.556	2023	40	Frontiers in Pharmacology	Development and validation of a machine learning-based detection system to improve precision screening for medication errors in the neonatal intensive care unit	10.3389/fphar.2023.1151560		crossref	improving precision archaeological site detection machine learning survey validation
prospeccion-precision	0.556	2021	8	Remote Sensing	Development and Validation of Machine-Learning Clear-Sky Detection Method Using 1-Min Irradiance Data and Sky Imagers at a Polluted Suburban Site, Xianghe	10.3390/rs13183763		crossref	improving precision archaeological site detection machine learning survey validation
prospeccion-precision	0.556	2019	50	Remote Sensing	Improving the Accuracy of Landslide Detection in “Off-site” Area by Machine Learning Model Portability Comparison: A Case Study of Jiuzhaigou Earthquake, China	10.3390/rs11212530		crossref	improving precision archaeological site detection machine learning survey validation
dominio-urbano	0.545	2026	0	PLoS One	Empowering rural governance with digital technology: Deep learning models for automated detection of rural buildings using remote sensing images.	10.1371/journal.pone.0351311		europepmc	domain adaptation urban rural landscape deep learning remote sensing detection shift
dominio-urbano	0.545	2025	0	IEEE Transactions on Geoscience and Remote Sensing	Bridging the Intertemporal Domain Shift for Remote Sensing Change Detection via Domain Adaptation	10.1109/tgrs.2025.3622153		crossref	domain adaptation urban rural landscape deep learning remote sensing detection shift
dominio-urbano	0.545	2023	18	Remote Sensing	Improved Deep Learning-Based Vehicle Detection for Urban Applications Using Remote Sensing Imagery	10.3390/rs15194747		crossref	domain adaptation urban rural landscape deep learning remote sensing detection shift
dominio-urbano	0.545	2022	78	ISPRS Journal of Photogrammetry and Remote Sensing	Cross-spatiotemporal land-cover classification from VHR remote sensing images with deep learning based domain adaptation	10.1016/j.isprsjprs.2022.07.011		crossref	domain adaptation urban rural landscape deep learning remote sensing detection shift
mineria-duros	0.545	2021	23	IEEE Transactions on Geoscience and Remote Sensing	Object Detection in High-Resolution Remote Sensing Images Based on a Hard-Example-Mining Network	10.1109/tgrs.2020.3038673		crossref	hard negative mining reduce false positives object detection remote sensing archaeology
fusion-ortofoto	0.5	2027	0	International Journal of Biometrics	Student behaviour detection in Chinese smart classroom based on multimodal feature fusion	10.1504/ijbm.2027.10080243		crossref	multimodal fusion lidar relief and orthophoto archaeological feature detection
fusion-ortofoto	0.5	2026	0	International Journal of Scientific Engineering and Research	Hierarchical Feature Fusion with Differential Attention Enhancement for Multimodal Sarcasm Detection	10.70729/se26623223413		crossref	multimodal fusion lidar relief and orthophoto archaeological feature detection
fusion-ortofoto	0.5	2026	0	Sensors	GeoFusion-3D: Multi-Scale Geomorphic Feature Fusion for Landslide Scar Detection Using UAV-Mounted LiDAR	10.3390/s26113557		crossref	multimodal fusion lidar relief and orthophoto archaeological feature detection
fusion-ortofoto	0.5	2026	2	Applied Soft Computing	MFFMN: Multi-feature fusion Mamba enhancement network for LiDAR-based 3D object detection	10.1016/j.asoc.2025.114262		crossref	multimodal fusion lidar relief and orthophoto archaeological feature detection
fusion-ortofoto	0.5	2026	0	IET Conference Proceedings	Research on anomaly detection algorithms with multimodal feature fusion	10.1049/icp.2025.4689		crossref	multimodal fusion lidar relief and orthophoto archaeological feature detection
fusion-ortofoto	0.5	2026	6	Information Fusion	Alzheimer’s disease detection based on flexible optimal graph fusion of multimodal low rank sparse feature selection	10.1016/j.inffus.2025.103486		crossref	multimodal fusion lidar relief and orthophoto archaeological feature detection
fusion-ortofoto	0.5	2026	0	Electronics	LLM-Based Multimodal Feature Extraction and Hierarchical Fusion for Phishing Email Detection	10.3390/electronics15020368		crossref	multimodal fusion lidar relief and orthophoto archaeological feature detection
transferencia-region	0.5	2026	0	Geosciences	Cross-Country Transferability of Deep Learning Models for Artisanal and Small-Scale Mining Mapping in Ghana and Côte d’Ivoire	10.3390/geosciences16080310		crossref	cross region transferability archaeological deep learning model generalisation
transferencia-region	0.5	2026	0	GIScience &amp; Remote Sensing	Assessment of parameter sensitivity in cross-domain transferability of deep learning-based landslide detection models	10.1080/15481603.2026.2647162		crossref	cross region transferability archaeological deep learning model generalisation
transferencia-region	0.5	2026	0	Preventive Veterinary Medicine	Cross-farm generalisation of machine and deep learning models for lameness prediction in multiparous dairy cows	10.1016/j.prevetmed.2026.106965		crossref	cross region transferability archaeological deep learning model generalisation
transferencia-region	0.5	2026	0	Journal of Network and Systems Management	Evaluating Cross-Domain Generalisation of Deep Learning Models in Network Traffic Classification: A Statistical and Experimental Analysis of VNF and PNF	10.1007/s10922-026-10049-2		crossref	cross region transferability archaeological deep learning model generalisation
transferencia-region	0.5	2026	0	Water Research	Towards scalable deep learning for automated microscopy in harmful algal bloom monitoring: Data-centric workflow and multi-region generalisation	10.1016/j.watres.2026.126038		crossref	cross region transferability archaeological deep learning model generalisation
