bucket	relevance	year	cites	venue	title	doi	oa_url	source_api	query
C1-negativos	0.875	2025	1	Journal of Thoracic Imaging	Real-world Evaluation of Computer-aided Pulmonary Nodule Detection Software Sensitivity and False Positive Rate	10.1097/rti.0000000000000835		crossref	false positive reduction computer aided detection pulmonary nodule
C1-negativos	0.875	2024	2	Journal of Medical Imaging	Exploring synthetic datasets for computer-aided detection: a case study using phantom scan data for enhanced lung nodule false positive reduction	10.1117/1.jmi.11.4.044507		crossref	false positive reduction computer aided detection pulmonary nodule
C3-medicion	0.857	2021	6	International Journal of Cancer	Low positive predictive value of computed tomography screening for lung cancer irrespective of commonly employed definitions of target population	10.1002/ijc.33522		crossref	positive predictive value screening low prevalence population
C3-medicion	0.833	2026	0	Brain and Spine	Diagnostic yield and number needed to screen for cervical and concomitant spinal injuries in geriatric head trauma	10.1016/j.bas.2026.106247		crossref	number needed to screen diagnostic yield programme
C1-negativos	0.833	2025	1	Intelligenza Artificiale: The international journal of the AIxIA	QuAcc: Using Quantification to Predict Classifier Accuracy Under Prior Probability Shift	10.1177/17248035251338347		crossref	prior probability shift quantification classifier deployment
C1-negativos	0.833	2020	14	IEEE Transactions on Vehicular Technology	Real-Time Single-Stage Vehicle Detector Optimized by Multi-Stage Image-Based Online Hard Example Mining	10.1109/tvt.2019.2961625		crossref	online hard example mining detector training
C1-negativos	0.833	2018	0	DEStech Transactions on Computer Science and Engineering	Training Deep Residual Network with Funnel Online Hard Examples Mining Method on Object Detector	10.12783/dtcse/aiie2017/18227		crossref	online hard example mining detector training
C1-negativos	0.75	2026	0	The Visual Computer	Enhancing pulmonary nodule detection via triaxial projection aggregation and false positive reduction	10.1007/s00371-026-04533-8		crossref	false positive reduction computer aided detection pulmonary nodule
C1-negativos	0.75	2026	0	International Journal of Artificial Intelligence, Data Science, and Machine Learning	Production Deployment of Computer-Aided Detection Systems in Mammography Screening: Throughput, False Positive Reduction, and Clinical Workflow Integration	10.63282/3050-9262.ijaidsml-v7i2p121		crossref	false positive reduction computer aided detection pulmonary nodule
C1-negativos	0.75	2024	16	Expert Systems with Applications	Pulmonary nodule detection based on model fusion and adaptive false positive reduction	10.1016/j.eswa.2023.121890		crossref	false positive reduction computer aided detection pulmonary nodule
C1-negativos	0.75	2024	9	Medical Physics	Robust explanation supervision for false positive reduction in pulmonary nodule detection	10.1002/mp.16937		crossref	false positive reduction computer aided detection pulmonary nodule
C1-negativos	0.75	2024	10	IEEE Geoscience and Remote Sensing Letters	Context Feature Integration and Balanced Sampling Strategy for Small Weak Object Detection in Remote Sensing Imagery	10.1109/lgrs.2024.3356507		crossref	negative sampling strategy rare object detection remote sensing
