bucket	relevance	year	cites	venue	title	doi	oa_url	source_api	query
muestreo-inteligente	0.6	2019	17	Sensing and Imaging	Sample Selection Based Change Detection with Dilated Network Learning in Remote Sensing Images	10.1007/s11220-019-0252-0		crossref	active learning sample selection reduce inference cost remote sensing detection
paralelo-cpu	0.556	2021	55	Remote Sensing	Airborne LiDAR Point Cloud Processing for Archaeology. Pipeline and QGIS Toolbox	10.3390/rs13163225		crossref	parallel processing lidar point cloud multicore CPU cluster archaeology
arqueologia-escala	0.545	2024	19	Journal of Archaeological Science	Broadscale deep learning model for archaeological feature detection across the Maya area	10.1016/j.jas.2024.106022		crossref	deep learning archaeological feature detection large area survey computational workflow lidar
muestreo-inteligente	0.5	2026	0	IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing	ALS Teacher: Active Label Selection for Semisupervised Oriented Object Detection in Remote Sensing Imagery	10.1109/jstars.2026.3684719		crossref	active learning sample selection reduce inference cost remote sensing detection
muestreo-inteligente	0.5	2025	3	Remote Sensing	Low-Shot Weakly Supervised Object Detection for Remote Sensing Images via Part Domination-Based Active Learning and Enhanced Fine-Tuning	10.3390/rs17071155		crossref	active learning sample selection reduce inference cost remote sensing detection
muestreo-inteligente	0.5	2024	2	IEEE Transactions on Geoscience and Remote Sensing	Annotation Cost-Efficient Active Learning for Deep Metric Learning-Driven Remote Sensing Image Retrieval	10.1109/tgrs.2024.3438430		crossref	active learning sample selection reduce inference cost remote sensing detection
muestreo-inteligente	0.5	2023	2	International Journal of Remote Sensing	Change detection in VHR Remote Sensing Images by automatic sample selection and progressive classification	10.1080/01431161.2023.2273245		crossref	active learning sample selection reduce inference cost remote sensing detection
muestreo-inteligente	0.5	2023	11	IEEE Geoscience and Remote Sensing Letters	Cloud Detection in Optical Remote Sensing Images With Deep Semi-Supervised and Active Learning	10.1109/lgrs.2023.3287537		crossref	active learning sample selection reduce inference cost remote sensing detection
muestreo-inteligente	0.5	2023	97	Remote Sensing	Integrating Active and Passive Remote Sensing Data for Mapping Soil Salinity Using Machine Learning and Feature Selection Approaches in Arid Regions	10.3390/rs15071751		crossref	active learning sample selection reduce inference cost remote sensing detection
memoria-limitada	0.5	2023	4	Cognitive Neurodynamics	An efficient memory reserving-and-fading strategy for vector quantization based 3D brain segmentation and tumor extraction using an unsupervised deep learning network	10.1007/s11571-023-09965-9		crossref	memory efficient inference limited RAM tiling strategy geospatial deep learning
barrido-regional	0.5	2021	4	International Journal of Applied Earth Observation and Geoinformation	Automated detection of former field systems from airborne laser scanning data: a new approach for Historical Ecology	10.1016/j.jag.2021.102563		crossref	regional scale automated detection burial mounds hillforts airborne laser scanning
memoria-limitada	0.5	2021	17	Journal of Systems Architecture	Memory-efficient deep learning inference with incremental weight loading and data layout reorganization on edge systems	10.1016/j.sysarc.2021.102183		crossref	memory efficient inference limited RAM tiling strategy geospatial deep learning
barrido-regional	0.5	2019	10	CERNE	AUTOMATED INDIVIDUAL TREE DETECTION IN AMAZON TROPICAL FOREST FROM AIRBORNE LASER SCANNING DATA	10.1590/01047760201925032630		crossref	regional scale automated detection burial mounds hillforts airborne laser scanning
muestreo-inteligente	0.5	2019	26	IEEE Transactions on Neural Networks and Learning Systems	Cost-Effective Object Detection: Active Sample Mining With Switchable Selection Criteria	10.1109/tnnls.2018.2852783		crossref	active learning sample selection reduce inference cost remote sensing detection
arqueologia-escala	0.455	2025	0	Abstracts of the ICA	Digging Deeper: Automating Archaeological Feature Detection through Deep Learning	10.5194/ica-abs-10-230-2025		crossref	deep learning archaeological feature detection large area survey computational workflow lidar
arqueologia-escala	0.455	2025	2	Remote Sensing	A Deep Learning Approach to Lidar Signal Denoising and Atmospheric Feature Detection	10.3390/rs17244060		crossref	deep learning archaeological feature detection large area survey computational workflow lidar
arqueologia-escala	0.455	2024	21	Remote Sensing	A Deep Learning Lidar Denoising Approach for Improving Atmospheric Feature Detection	10.3390/rs16152735		crossref	deep learning archaeological feature detection large area survey computational workflow lidar
