theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Review for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2024		0		10.1109/tgrs.2025.3551286/v1/review2			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Review for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2025		0		10.1109/tgrs.2025.3551286/v3/review1			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Review for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2025		0		10.1109/tgrs.2025.3551286/v3/review2			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Review for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2024		0		10.1109/tgrs.2025.3551286/v2/review1			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Review for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2024		0		10.1109/tgrs.2025.3551286/v1/review1			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Review for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2024		0		10.1109/tgrs.2025.3551286/v2/review2			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Review for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2025		0		10.1109/tgrs.2025.3551286/v4/review1			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Review for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2025		0		10.1109/tgrs.2025.3551286/v4/review2			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Decision letter for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2024		0		10.1109/tgrs.2025.3551286/v1/decision1			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Decision letter for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2024		0		10.1109/tgrs.2025.3551286/v2/decision1			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Decision letter for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2025		0		10.1109/tgrs.2025.3551286/v3/decision1			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Decision letter for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2025		0		10.1109/tgrs.2025.3551286/v4/decision1			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	Semantic Consistency and Uncertainty-Driven Small-Object Detection for Class Imbalance	2026	Remote Sensing	0		10.3390/rs18132208		en	In aerial image small-object detection, complex imaging perspectives, arbitrary object orientations, and long-tailed category distributions jointly exacerbate sample imbalance, which significantly degrades detection stability and leads to frequent misclassification of minority categories. To address these challenges, this paper proposes a novel training framework termed SCUD. Specifically, in the label noise suppression strategy (LNSS), a contrastive learning mechanism based on semantic consistency is introduced to constrain the aggregation of similar samples in the feature space, thereby reducing the adverse impact of noisy samples on model optimization. In addition, a scale-aware resampling strategy (SARS) is designed to alleviate noise amplification and overfitting caused by excessive repetition of small objects during training. Furthermore, an adaptive instance selection mechanism (AISM) is developed by jointly modeling prediction uncertainty and global statistical priors, enabling the model to dynamically emphasize learning from informative samples. Extensive experiments are conducted on two publicly available unmanned aerial vehicle (UAV) aerial image datasets to validate the effectiveness of the proposed approach. The proposed method achieves an mAP50 of 70.7% on the DOTA-v1.0 dataset and 88.1% on the DIOR dataset. Notably, the detection accuracy of several rare categories is significantly improved, further demonstrating the effectiveness of the proposed method in addressing sample imbalance in aerial image small-object detection.
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Author response for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2024		0		10.1109/tgrs.2025.3551286/v3/response1			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Author response for ""DHC-Net: A Remote Sensing Object Detection Under Haze and Class Imbalance"""	2025		0		10.1109/tgrs.2025.3551286/v4/response1			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	RS-LMF2 : Refined Sparse with Large Receptive field and Multi-Scale Feature Fusion for Remote Sensing Object Detection	2024		0		10.21203/rs.3.rs-4749397/v1			Abstract Remote sensing images object detection as a research hots-pot in recent years, its detection effect and inference speed are attracting much attention. Small receptive field often lead to object classification errors because of the similarity features between different categories. In addition, the large size of remote sensing images leads to slow inference speed. To address above problems, this paper proposes a single-stage rotated object detector RS-LMF 2 . Firstly, ResNet-Dil module is used to increase the receiver field of the model, and then the Augment-FPN module is used to merge the feature information between the bottom layer and the top layer to obtain prior knowledge, so that the model can capture enough background information in the remote sensing objects to increase the detection effect of the model. In order to improve inference speed, this paper designs the refined sparse module, which not only reduces the number of initial settings of anchor, but also uses multiple convolutions to obtain the angle information of the objects, so that the horizontal box is gradually regressed into a rotated box to improve the inference speed. RS-LMF 2 achieves excellent results in two datasets, i.e., DOTA (79.0% mAP, 22.3 FPS), and UCAS-AOD (90.8% mAP, 39.2 FPS) on an NVIDIA 3090 GPU.
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	Adaptive Orientation Object-Detection Method for Large-scale Remote Sensing Images Based on Multi-scale Block Fusion	2025	Photogrammetric Engineering &amp; Remote Sensing	2		10.14358/pers.24-00036r1		en	Object detection is crucial to extracting and analyzing information autonomously from high-resolution remote sensing images (HRSIs). To address ideal blocking for large-scale HRSI object detection, this study uses a novel adaptive orientation object-detection method for largescale HRSIs based on multi-scale block fusion. An adaptive orientation object-detection framework based on a convolutional neural network is applied to detect diverse objects of large-scale HRSIs through different block scales; average precision (AP) values of diverse object detection results are calculated at different block scales. Then, block scales matching the largest AP values of diverse objects are determined based on statistical results of the AP values of the diverse object at different block scales. Finally, object-detection results at block scales matching the largest AP values of diverse objects are fused by the non-maximum suppression algorithm to achieve large-scale HRSI object-detection results. Experimental findings reveal that the proposed method is better than any single block-scale object-detection method, resulting in satisfactory large-scale HRSI object-detection results.
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	DOMAIN ADAPTATION FOR DEFORESTATION DETECTION IN REMOTE SENSING: ADDRESSING PERFORMANCE ESTIMATION AND CLASS IMBALANCE			0		10.17771/pucrio.acad.70461			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	SCSF-Net: Single Class Scale Fixed Network for Object Detection in Optical Remote Sensing Images on Limited Hardware	2021	2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS	1		10.1109/igarss47720.2021.9553056			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	An Anchor-free Object Detection Network for Arbitrarily-orientated Ships in Large-scale Remote Sensing Images	2021	Remote Sensing Letters	3		10.1080/2150704x.2021.1974599		en	
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	RSSOD-Bench: a Large-Scale Benchmark Dataset for Salient Object Detection in Optical Remote Sensing Imagery	2023	IGARSS 2023 - 2023 IEEE International Geoscience and Remote Sensing Symposium	4		10.1109/igarss52108.2023.10281525			
1_base_rate	class imbalance rare object detection remote sensing large scale	crossref	"Review for ""Scale-Aware Pruning Framework for Remote Sensing Object Detection via Multifeature Representation"""	2024		0		10.1109/tgrs.2025.3545416/v1/review1			
