theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
4_review_budget	active learning annotation budget object detection	crossref	Annotation-efficient learning for object discovery and detection			0		10.70675/aae8cd95z8e92z4d35z9384zafe56efdad87			Les méthodes d'apprentissage efficaces en annotation pour la découverte et la détection d'objets Les modèles de détection d’objets dans les images sont des composants importants de systèmes intelligents comme les véhicules autonomes ou les robots. Ils sont typiquement obtenus par l’apprentissage supervisé, ce qui nécessite de grands jeux de données annotées à la main. La construction de tels jeux de données est pourtant coûteuse en temps et en argent, ce qui limite souvent leur taille et leur diversité et, par conséquent, restreint l’applicabilité des détecteurs d’objets. L’objectif de cette thèse est de développer des alternatives à l’apprentissage supervisé qui demandent moins de données annotées pour la détection d’objets. Dans la première partie de la thèse, nous nous concentrons sur la découverte d’objets non-supervisée, qui, étant donné une collection d’images non-annotées, vise à trouver les images qui contiennent les objets de la même catégorie, et localiser ces objets. Nous introduisons deux méthodes d’optimisation discrète (OSD et rOSD), une méthode de classement (LOD) et une méthode qui se base sur les descripteurs des transformers autosupervisés pour ce problème. Dans la deuxième partie de la thèse, nous considérons un scénario pratique qui combine l’apprentissage faible et actif pour entraîner un détecteur d’objets, et discutons BiB, une méthode efficace pour un tel scénario. Nous démontrons que BiB offre un meilleur compromis entre la performance de détection et le coût d’annotation que l’apprentissage faiblement et complètement supervisé.
4_review_budget	active learning annotation budget object detection	crossref	Deep Active Learning with Budget Annotation	2022	2022 International Conference on Information and Communication Technology for Development for Africa (ICT4DA)	0		10.1109/ict4da56482.2022.9971387			
4_review_budget	active learning annotation budget object detection	crossref	Towards Few-Annotation Learning in Computer Vision : Application to Image Classification and Object Detection tasks			0		10.70675/6796455fzbdb0z4853z9023z932dbb24367b			Vers un apprentissage avec peu d’annotations en vision par ordinateur : Application à la classification et à la détection d’objets dans les images Nous développons dans cette thèse des contributions théoriques, algorithmiques et expérimentales pour l’apprentissage automatique avec peu d'annotations, et plus spécifiquement pour les tâches de classification d’images et de détection d’objets en vision par ordinateur. Dans une première contribution, nous nous intéressons à combler le fossé entre la théorie et la pratique concernant les algorithmes de méta-apprentissage les plus répandus, utilisés pour de la classification avec peu d’exemples. Nous établissons des liens avec l’apprentissage de représentation multi-tâches, qui bénéficie de bases théoriques solides, afin de vérifier les meilleures conditions amenant à un méta-apprentissage plus efficace. Ensuite, afin d’exploiter les données non étiquetées pour entraîner des détecteurs d’objets basés sur l’architecture Transformer, nous proposons à la fois un pré-entraînement non supervisé et une méthode d’apprentissage semi-supervisée dans deux autres contributions distinctes. Pour le pré-entraînement, nous améliorons l’apprentissage contrastif des détecteurs d’objets en introduisant les informations de localisation. Enfin, notre méthode semi-supervisée est la première adaptée aux détecteurs d’objets utilisant des modèles type Transformers.
4_review_budget	active learning annotation budget object detection	crossref	Active Deep Learning for Minimizing Annotation Costs in Industrial Defect Detection	2026		0		10.2139/ssrn.7020539			Deep learning has demonstrated significant potential for industrial surface defect detection, yet its practical deployment is often constrained by the substantial costs associated with manual data annotation. This paper addresses the challenge of minimizing annotation expenses while maintaining high detection accuracy through active deep learning approaches. We propose a framework that strategically selects the most informative unlabeled samples for human annotation, thereby reducing the labeling effort without compromising model performance. A lightweight convolutional neural network architecture is designed to accelerate training and enhance regularization, while a novel uncertainty-based sampling strategy-employing Kullback-Leibler divergence between predictive distributions-identifies high-value samples for labeling. Experimental validation on the NEU-CLS steel surface dataset demonstrates that the proposed method achieves 97.8% classification accuracy using only 44% of labeled data, and maintains classification performance above 90% with no more than 50% of the dataset annotated on a milling steel surface defect dataset. These findings indicate that active learning strategies can significantly reduce annotation costs in industrial quality inspection, offering a practical pathway for deploying deep learning in resource-constrained manufacturing environments where labeled defect samples are scarce.
4_review_budget	active learning annotation budget object detection	crossref	Active Learning Meets Foundation Models: Fast Remote Sensing Data Annotation for Object Detection	2025	2025 IEEE/CVF International Conference on Computer Vision (ICCV)	0		10.1109/iccv51701.2025.00572			
4_review_budget	active learning annotation budget object detection	crossref	Figure 2: Annotation of object detection dataset.			0		10.7717/peerj-cs.1262/fig-2			
4_review_budget	active learning annotation budget object detection	crossref	Object Detection and Image Annotation Using Deep Learning	2023	International Research Journal of Modernization in Engineering Technology and Science	0		10.56726/irjmets41723			
4_review_budget	active learning annotation budget object detection	crossref	Active Learning for Deep Object Detection	2019	Proceedings of the 14th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications	19		10.5220/0007248600002108			
4_review_budget	active learning annotation budget object detection	crossref	Active Learning for Deep Object Detection	2019	Proceedings of the 14th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications	45		10.5220/0007248601810190			
4_review_budget	active learning annotation budget object detection	crossref	Incremental Learning for Salient Object Detection Using Data Withvaried Annotation Granularities	2024		0		10.2139/ssrn.4978369			
4_review_budget	active learning annotation budget object detection	crossref	Object Annotation Using Cost-Effective Active Learning	2021	2021 6th International Conference on Computer Science and Engineering (UBMK)	0		10.1109/ubmk52708.2021.9559028			
4_review_budget	active learning annotation budget object detection	crossref	Deep Active Learning with Noisy Oracle in Object Detection	2024	Proceedings of the 19th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications	3		10.5220/0012315800003660			
4_review_budget	active learning annotation budget object detection	crossref	Annotation-Driven Object Detection	2026	International Journal of Research Publication and Reviews	0		10.55248/gengpi.07.0426.a938			
4_review_budget	active learning annotation budget object detection	crossref	Figure 6: Comparison of object detection outcomes: expert annotation vs model predictions.			0		10.7717/peerj-cs.3213/fig-6			
4_review_budget	active learning annotation budget object detection	crossref	Fine-Grained Annotation Through Multi-Model Fusion and Class-Specific Performance Optimization in Object Detection	2024	2024 21st International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP)	0		10.1109/iccwamtip64812.2024.10873772			
4_review_budget	active learning annotation budget object detection	crossref	"Review for ""InterMamba: A Visual-Prompted Interactive Framework for Dense Object Detection and Annotation"""	2025		0		10.1109/tgrs.2025.3559798/v2/review1			
4_review_budget	active learning annotation budget object detection	crossref	"Review for ""InterMamba: A Visual-Prompted Interactive Framework for Dense Object Detection and Annotation"""	2025		0		10.1109/tgrs.2025.3559798/v2/review2			
4_review_budget	active learning annotation budget object detection	crossref	"Review for ""InterMamba: A Visual-Prompted Interactive Framework for Dense Object Detection and Annotation"""	2024		0		10.1109/tgrs.2025.3559798/v1/review2			
4_review_budget	active learning annotation budget object detection	crossref	"Review for ""InterMamba: A Visual-Prompted Interactive Framework for Dense Object Detection and Annotation"""	2024		0		10.1109/tgrs.2025.3559798/v1/review1			
4_review_budget	active learning annotation budget object detection	crossref	Bridging the Gap: Active Learning for Effcient Domain Adaptation in Object Detection	2024		0		10.2139/ssrn.4793554			
4_review_budget	active learning annotation budget object detection	crossref	Active learning with applications in biomedical document annotation			0		10.32657/10356/71680			
4_review_budget	active learning annotation budget object detection	crossref	Re-annotation of training samples for robust maritime object detection	2022	Machine Learning with Applications	3		10.1016/j.mlwa.2022.100411		en	
4_review_budget	active learning annotation budget object detection	crossref	Reduced Annotation Based on Deep Active Learning for Arabic Text Detection in Natural Scene Images	2021		0		10.36227/techrxiv.17327963.v1			- A novel approach is presented to reduced annotation based on Deep Active Learning for Arabic text detection in Natural Scene Images. - A new Arabic text images dataset (7k images) using the Google Street View service named TSVD. - A new semi-automatic method for generating natural scene text images from the streets. - Training samples is reduced to 1/5 of the original training size on average. - Much less training data to achieve better dice index : 0.84
4_review_budget	active learning annotation budget object detection	crossref	Reduced Annotation Based on Deep Active Learning for Arabic Text Detection in Natural Scene Images	2021		0		10.36227/techrxiv.17327963			&lt;div&gt;- A novel approach is presented to reduced annotation based on Deep Active Learning for Arabic text detection in Natural Scene Images.&lt;/div&gt;&lt;div&gt;- A new Arabic text images dataset (7k images) using the Google Street View service named TSVD.&lt;/div&gt;&lt;div&gt;- A new semi-automatic method for generating natural scene text images from the streets.&lt;/div&gt;&lt;div&gt;- Training samples is reduced to 1/5 of the original training size on average.&lt;/div&gt;&lt;div&gt;- Much less training data to achieve better dice index : 0.84&lt;/div&gt;
4_review_budget	active learning annotation budget object detection	crossref	Object Detection and Annotation in Videos Using Deep Learning	2025	INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT	0		10.55041/ijsrem44619			This project develops an advanced video processing system capable of detecting and annotating objects in video footage. By leveraging deep learning-based object detection models, the system identifies, tracks, and labels objects across video frames, ensuring accurate analysis over time. The implementation uses Flask as a web framework, OpenCV for video handling, and the YOLO model for efficient object detection. Users can upload videos, specify target objects, and receive annotated outputs with bounding boxes and confidence levels. The system supports real-time processing, enabling automated monitoring applications such as surveillance, traffic analysis, and security enforcement. A Firebase backend facilitates cloud storage and retrieval of processed videos and detection results. Optimized frame sampling ensures efficient computation, reducing processing time without compromising accuracy. The application enhances decision-making by providing structured data insights extracted from video content. Additional features include detection result saving, cloud synchronization, and historical data access for further analysis. The system's flexible architecture allows future enhancements, including integration with live camera feeds and expanded detection capabilities. Key Words:Video Processing, Object Detection, Annotation, Computer Vision, Automated Monitoring, Surveillance, Deep Learning.
4_review_budget	active learning annotation budget object detection	crossref	Towards Rapid Prototyping and Comparability in Active Learning for Deep Object Detection	2024	Proceedings of the 19th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications	1		10.5220/0012315400003660			
4_review_budget	active learning annotation budget object detection	crossref	Video annotation ‘Prepare-Participate-Connect’ models: Promoting active learning with video			0		10.14742/ajet.2123.s448			
4_review_budget	active learning annotation budget object detection	crossref	Multi-Task Learning with Multi-Annotation Triplet Loss for Improved Object Detection	2025	IGARSS 2025 - 2025 IEEE International Geoscience and Remote Sensing Symposium	1		10.1109/igarss55030.2025.11242980			
4_review_budget	active learning annotation budget object detection	crossref	Budget efficient online active learning and its applications			0		10.32657/10356/69462			
4_review_budget	active learning annotation budget object detection	crossref	"Decision letter for ""InterMamba: A Visual-Prompted Interactive Framework for Dense Object Detection and Annotation"""	2025		0		10.1109/tgrs.2025.3559798/v1/decision1			
4_review_budget	active learning annotation budget object detection	crossref	"Decision letter for ""InterMamba: A Visual-Prompted Interactive Framework for Dense Object Detection and Annotation"""	2025		0		10.1109/tgrs.2025.3559798/v2/decision1			
