theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
method_detection	object detection archaeology aerial imagery deep learning	openalex	Hyperspectral Imaging: A Review on UAV-Based Sensors, Data Processing and Applications for Agriculture and Forestry	2017	Remote Sensing	1282	yes	10.3390/rs9111110	https://www.mdpi.com/2072-4292/9/11/1110/pdf?version=1509505848	en	Traditional imagery—provided, for example, by RGB and/or NIR sensors—has proven to be useful in many agroforestry applications. However, it lacks the spectral range and precision to profile materials and organisms that only hyperspectral sensors can provide. This kind of high-resolution spectroscopy was firstly used in satellites and later in manned aircraft, which are significantly expensive platforms and extremely restrictive due to availability limitations and/or complex logistics. More recently, UAS have emerged as a very popular and cost-effective remote sensing technology, composed of aerial platforms capable of carrying small-sized and lightweight sensors. Meanwhile, hyperspectral technology developments have been consistently resulting in smaller and lighter sensors that can currently be integrated in UAS for either scientific or commercial purposes. The hyperspectral sensors’ ability for measuring hundreds of bands raises complexity when considering the sheer quantity of acquired data, whose usefulness depends on both calibration and corrective tasks occurring in pre- and post-flight stages. Further steps regarding hyperspectral data processing must be performed towards the retrieval of relevant information, which provides the true benefits for assertive interventions in agricultural crops and forested areas. Considering the aforementioned topics and the goal of providing a global view focused on hyperspectral-based remote sensing supported by UAV platforms, a survey including hyperspectral sensors, inherent data processing and applications focusing both on agriculture and forestry—wherein the combination of UAV and hyperspectral sensors plays a center role—is presented in this paper. Firstly, the advantages of hyperspectral data over RGB imagery and multispectral data are highlighted. Then, hyperspectral acquisition devices are addressed, including sensor types, acquisition modes and UAV-compatible sensors that can be used for both research and commercial purposes. Pre-flight operations and post-flight pre-processing are pointed out as necessary to ensure the usefulness of hyperspectral data for further processing towards the retrieval of conclusive information. With the goal of simplifying hyperspectral data processing—by isolating the common user from the processes’ mathematical complexity—several available toolboxes that allow a direct access to level-one hyperspectral data are presented. Moreover, research works focusing the symbiosis between UAV-hyperspectral for agriculture and forestry applications are reviewed, just before the paper’s conclusions.
method_detection	archaeological site detection deep learning LiDAR	openalex	Google Earth Engine Cloud Computing Platform for Remote Sensing Big Data Applications: A Comprehensive Review	2020	IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing	1120	yes	10.1109/jstars.2020.3021052	https://ieeexplore.ieee.org/ielx7/4609443/8994817/09184118.pdf	en	Remote sensing (RS) systems have been collecting massive volumes of datasets for decades, managing and analyzing of which are not practical using common software packages and desktop computing resources. In this regard, Google has developed a cloud computing platform, called Google Earth Engine (GEE), to effectively address the challenges of big data analysis. In particular, this platform facilitates processing big geo data over large areas and monitoring the environment for long periods of time. Although this platform was launched in 2010 and has proved its high potential for different applications, it has not been fully investigated and utilized for RS applications until recent years. Therefore, this study aims to comprehensively explore different aspects of the GEE platform, including its datasets, functions, advantages/limitations, and various applications. For this purpose, 450 journal articles published in 150 journals between January 2010 and May 2020 were studied. It was observed that Landsat and Sentinel datasets were extensively utilized by GEE users. Moreover, supervised machine learning algorithms, such as Random Forest, were more widely applied to image classification tasks. GEE has also been employed in a broad range of applications, such as Land Cover/land Use classification, hydrology, urban planning, natural disaster, climate analyses, and image processing. It was generally observed that the number of GEE publications have significantly increased during the past few years, and it is expected that GEE will be utilized by more users from different fields to resolve their big data processing challenges.
method_detection	semantic segmentation archaeological features LiDAR DTM	crossref	RangeNet ++: Fast and Accurate LiDAR Semantic Segmentation	2019	2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)	1096		10.1109/iros40897.2019.8967762			
method_detection	object detection archaeology aerial imagery deep learning	openalex	lidR: An R package for analysis of Airborne Laser Scanning (ALS) data	2020	Remote Sensing of Environment	989	yes	10.1016/j.rse.2020.112061	https://www.sciencedirect.com/science/article/pii/S0034425720304314/pdf	en	Airborne laser scanning (ALS) is a remote sensing technology known for its applicability in natural resources management. By quantifying the three-dimensional structure of vegetation and underlying terrain using laser technology, ALS has been used extensively for enhancing geospatial knowledge in the fields of forestry and ecology. Structural descriptions of vegetation provide a means of estimating a range of ecologically pertinent attributes, such as height, volume, and above-ground biomass. The efficient processing of large, often technically complex datasets requires dedicated algorithms and software. The continued promise of ALS as a tool for improving ecological understanding is often dependent on user-created tools, methods, and approaches. Due to the proliferation of ALS among academic, governmental, and private-sector communities, paired with requirements to address a growing demand for open and accessible data, the ALS community is recognising the importance of free and open-source software (FOSS) and the importance of user-defined workflows. Herein, we describe the philosophy behind the development of the lidR package. Implemented in the R environment with a C/C++ backend, lidR is free, open-source and cross-platform software created to enable simple and creative processing workflows for forestry and ecology communities using ALS data. We review current algorithms used by the research community, and in doing so raise awareness of current successes and challenges associated with parameterisation and common implementation approaches. Through a detailed description of the package, we address the key considerations and the design philosophy that enables users to implement user-defined tools. We also discuss algorithm choices that make the package representative of the ‘state-of-the-art’ and we highlight some internal limitations through examples of processing time discrepancies. We conclude that the development of applications like lidR are of fundamental importance for developing transparent, flexible and open ALS tools to ensure not only reproducible workflows, but also to offer researchers the creative space required for the progress and development of the discipline.
method_detection	semantic segmentation archaeological features LiDAR DTM	openalex	Heritage Recording and 3D Modeling with Photogrammetry and 3D Scanning	2011	Remote Sensing	947	yes	10.3390/rs3061104	https://www.mdpi.com/2072-4292/3/6/1104/pdf?version=1403129279	en	The importance of landscape and heritage recording and documentation with optical remote sensing sensors is well recognized at international level. The continuous development of new sensors, data capture methodologies and multi-resolution 3D representations, contributes significantly to the digital 3D documentation, mapping, conservation and representation of landscapes and heritages and to the growth of research in this field. This article reviews the actual optical 3D measurement sensors and 3D modeling techniques, with their limitations and potentialities, requirements and specifications. Examples of 3D surveying and modeling of heritage sites and objects are also shown throughout the paper.
method_detection	object detection archaeology aerial imagery deep learning	openalex	Review of the Current State of UAV Regulations	2017	Remote Sensing	601	yes	10.3390/rs9050459	https://www.mdpi.com/2072-4292/9/5/459/pdf?version=1494336094	en	UAVs—unmanned aerial vehicles—facilitate data acquisition at temporal and spatial scales that still remain unachievable for traditional remote sensing platforms. However, current legal frameworks that regulate UAVs present significant barriers to research and development. To highlight the importance, impact, and diversity of UAV regulations, this paper provides an exploratory investigation of UAV regulations on the global scale. For this, the methodological approach consists of a research synthesis of UAV regulations, including a thorough literature review and a comparative analysis of national regulatory frameworks. Similarities and contrasting elements in the various national UAV regulations are explored including their statuses from the perspectives of past, present, and future trends. Since the early 2000s, countries have gradually established national legal frameworks. Although all UAV regulations have one common goal—minimizing the risks to other airspace users and to both people and property on the ground—the results reveal distinct variations in all the compared variables. Furthermore, besides the clear presence of legal frameworks, market forces such as industry design standards and reliable information about UAVs as public goods are expected to shape future developments.
method_detection	object detection archaeology aerial imagery deep learning	openalex	Deep Learning-Based Change Detection in Remote Sensing Images: A Review	2022	Remote Sensing	390	yes	10.3390/rs14040871	https://www.mdpi.com/2072-4292/14/4/871/pdf?version=1645431892	en	Images gathered from different satellites are vastly available these days due to the fast development of remote sensing (RS) technology. These images significantly enhance the data sources of change detection (CD). CD is a technique of recognizing the dissimilarities in the images acquired at distinct intervals and are used for numerous applications, such as urban area development, disaster management, land cover object identification, etc. In recent years, deep learning (DL) techniques have been used tremendously in change detection processes, where it has achieved great success because of their practical applications. Some researchers have even claimed that DL approaches outperform traditional approaches and enhance change detection accuracy. Therefore, this review focuses on deep learning techniques, such as supervised, unsupervised, and semi-supervised for different change detection datasets, such as SAR, multispectral, hyperspectral, VHR, and heterogeneous images, and their advantages and disadvantages will be highlighted. In the end, some significant challenges are discussed to understand the context of improvements in change detection datasets and deep learning models. Overall, this review will be beneficial for the future development of CD methods.
method_detection	archaeological site detection deep learning LiDAR	openalex	Deep Learning Meets Hyperspectral Image Analysis: A Multidisciplinary Review	2019	Journal of Imaging	380	yes	10.3390/jimaging5050052	https://www.mdpi.com/2313-433X/5/5/52/pdf?version=1557308159	en	Modern hyperspectral imaging systems produce huge datasets potentially conveying a great abundance of information; such a resource, however, poses many challenges in the analysis and interpretation of these data. Deep learning approaches certainly offer a great variety of opportunities for solving classical imaging tasks and also for approaching new stimulating problems in the spatial-spectral domain. This is fundamental in the driving sector of Remote Sensing where hyperspectral technology was born and has mostly developed, but it is perhaps even more true in the multitude of current and evolving application sectors that involve these imaging technologies. The present review develops on two fronts: on the one hand, it is aimed at domain professionals who want to have an updated overview on how hyperspectral acquisition techniques can combine with deep learning architectures to solve specific tasks in different application fields. On the other hand, we want to target the machine learning and computer vision experts by giving them a picture of how deep learning technologies are applied to hyperspectral data from a multidisciplinary perspective. The presence of these two viewpoints and the inclusion of application fields other than Remote Sensing are the original contributions of this review, which also highlights some potentialities and critical issues related to the observed development trends.
method_detection	archaeological site detection deep learning LiDAR	openalex	Airborne and spaceborne remote sensing for archaeological and cultural heritage applications: A review of the century (1907–2017)	2019	Remote Sensing of Environment	296	yes	10.1016/j.rse.2019.111280	https://ars.els-cdn.com/content/image/1-s2.0-S0034425719302998-ga1_lrg.jpg	en	Archaeological and cultural heritage (ACH), one of the core carriers of cultural diversity on our planet, has a direct bearing on the sustainable development of mankind. Documenting and protecting ACH is the common responsibility and duty of all humanity. It is governed by UNESCO along with the scientific communities that foster and encourage the use of advanced non-invasive techniques and methods for promoting scientific research into ACH and conservation of ACH sites. The use of remote sensing, a non-destructive tool, is increasingly popular by specialists around the world as it allows fast prospecting and mapping at multiple scales, rapid analysis of multisource datasets, and dynamic monitoring of ACH sites and their surrounding environments. The cost of using remote sensing is lower or even zero in practical applications. In this review, in order to discuss the advantages of airborne and spaceborne remote sensing (ASRS), the principles that make passive (photography, multispectral and hyperspectral) and active (synthetic aperture radar (SAR) and light detection and ranging radar (LiDAR)) imaging techniques suitable for ACH applications are first summarized and pointed out; a review of ASRS and the methodologies used over the past century is then presented together with relevant highlights from well-known research projects. Selected case studies from Mediterranean regions to East Asia illustrate how ASRS can be used effectively to investigate and understand archaeological features at multiple -scales and to monitor and assess the conservation status of cultural heritage sites in the context of sustainable development. An in-depth discussion on the limitations of ASRS and associated remaining challenges is presented along with conclusions and a look at future trends.
method_detection	object detection archaeology aerial imagery deep learning	openalex	Applications of UAV Thermal Imagery in Precision Agriculture: State of the Art and Future Research Outlook	2020	Remote Sensing	288	yes	10.3390/rs12091491	https://www.mdpi.com/2072-4292/12/9/1491/pdf?version=1589355787	en	Low-altitude remote sensing (RS) using unmanned aerial vehicles (UAVs) is a powerful tool in precision agriculture (PA). In that context, thermal RS has many potential uses. The surface temperature of plants changes rapidly under stress conditions, which makes thermal RS a useful tool for real-time detection of plant stress conditions. Current applications of UAV thermal RS include monitoring plant water stress, detecting plant diseases, assessing crop yield estimation, and plant phenotyping. However, the correct use and interpretation of thermal data are based on basic knowledge of the nature of thermal radiation. Therefore, aspects that are related to calibration and ground data collection, in which the use of reference panels is highly recommended, as well as data processing, must be carefully considered. This paper aims to review the state of the art of UAV thermal RS in agriculture, outlining an overview of the latest applications and providing a future research outlook.
method_detection	object detection archaeology aerial imagery deep learning	openalex	UAV &amp; satellite synergies for optical remote sensing applications: A literature review	2021	Science of Remote Sensing	286	yes	10.1016/j.srs.2021.100019	https://www.sciencedirect.com/science/article/am/pii/S2666017221000067?via%3Dihub	en	Unmanned aerial vehicles (UAVs) and satellite constellations are both essential Earth Observation (EO) systems for monitoring land surface dynamics. The former is frequently used for its acquisition flexibility and its ability to supply imagery with very high spatial resolution (VHSR); the latter is interesting for supplying time-series data over large areas. However, each of these data sources is generally used separately even though they are complementary and have strong and promising potential synergies. Data fusion is a well-known technique to exploit this multi-source synergy, but in practice, UAV and satellite synergies are more specific, less well known and need to be formalized. In this article, we review remote sensing studies that addressed both data sources. Current approaches were categorized to distinguish four strategies: “data comparison”, “multiscale explanation”, “model calibration” and “data fusion”. Analysis of the literature revealed emerging trends, the supply of these distinct strategies for several applications and allowed to identify key contributions of UAV data. Finally, the high potential of this synergy seems currently under-exploited; therefore a discussion is proposed about the related implications for data interoperability, machine learning and data sharing to reinforce synergies between UAVs and satellites.
method_detection	object detection archaeology aerial imagery deep learning	openalex	UAV-Based Forest Health Monitoring: A Systematic Review	2022	Remote Sensing	263	yes	10.3390/rs14133205	https://www.mdpi.com/2072-4292/14/13/3205/pdf?version=1656985383	en	In recent years, technological advances have led to the increasing use of unmanned aerial vehicles (UAVs) for forestry applications. One emerging field for drone application is forest health monitoring (FHM). Common approaches for FHM involve small-scale resource-extensive fieldwork combined with traditional remote sensing platforms. However, the highly dynamic nature of forests requires timely and repetitive data acquisition, often at very high spatial resolution, where conventional remote sensing techniques reach the limits of feasibility. UAVs have shown that they can meet the demands of flexible operation and high spatial resolution. This is also reflected in a rapidly growing number of publications using drones to study forest health. Only a few reviews exist which do not cover the whole research history of UAV-based FHM. Since a comprehensive review is becoming critical to identify research gaps, trends, and drawbacks, we offer a systematic analysis of 99 papers covering the last ten years of research related to UAV-based monitoring of forests threatened by biotic and abiotic stressors. Advances in drone technology are being rapidly adopted and put into practice, further improving the economical use of UAVs. Despite the many advantages of UAVs, such as their flexibility, relatively low costs, and the possibility to fly below cloud cover, we also identified some shortcomings: (1) multitemporal and long-term monitoring of forests is clearly underrepresented; (2) the rare use of hyperspectral and LiDAR sensors must drastically increase; (3) complementary data from other RS sources are not sufficiently being exploited; (4) a lack of standardized workflows poses a problem to ensure data uniformity; (5) complex machine learning algorithms and workflows obscure interpretability and hinders widespread adoption; (6) the data pipeline from acquisition to final analysis often relies on commercial software at the expense of open-source tools.
method_detection	object detection archaeology aerial imagery deep learning	openalex	Google Earth Engine and Artificial Intelligence (AI): A Comprehensive Review	2022	Remote Sensing	253	yes	10.3390/rs14143253	https://www.mdpi.com/2072-4292/14/14/3253/pdf?version=1657255548	en	Remote sensing (RS) plays an important role gathering data in many critical domains (e.g., global climate change, risk assessment and vulnerability reduction of natural hazards, resilience of ecosystems, and urban planning). Retrieving, managing, and analyzing large amounts of RS imagery poses substantial challenges. Google Earth Engine (GEE) provides a scalable, cloud-based, geospatial retrieval and processing platform. GEE also provides access to the vast majority of freely available, public, multi-temporal RS data and offers free cloud-based computational power for geospatial data analysis. Artificial intelligence (AI) methods are a critical enabling technology to automating the interpretation of RS imagery, particularly on object-based domains, so the integration of AI methods into GEE represents a promising path towards operationalizing automated RS-based monitoring programs. In this article, we provide a systematic review of relevant literature to identify recent research that incorporates AI methods in GEE. We then discuss some of the major challenges of integrating GEE and AI and identify several priorities for future research. We developed an interactive web application designed to allow readers to intuitively and dynamically review the publications included in this literature review.
method_detection	archaeological site detection deep learning LiDAR	openalex	Classification of 3D Digital Heritage	2019	Remote Sensing	200	yes	10.3390/rs11070847	https://www.mdpi.com/2072-4292/11/7/847/pdf?version=1554732516	en	In recent years, the use of 3D models in cultural and archaeological heritage for documentation and dissemination purposes is increasing. The association of heterogeneous information to 3D data by means of automated segmentation and classification methods can help to characterize, describe and better interpret the object under study. Indeed, the high complexity of 3D data along with the large diversity of heritage assets themselves have constituted segmentation and classification methods as currently active research topics. Although machine learning methods brought great progress in this respect, few advances have been developed in relation to cultural heritage 3D data. Starting from the existing literature, this paper aims to develop, explore and validate reliable and efficient automated procedures for the classification of 3D data (point clouds or polygonal mesh models) of heritage scenarios. In more detail, the proposed solution works on 2D data (“texture-based” approach) or directly on the 3D data (“geometry-based approach) with supervised or unsupervised machine learning strategies. The method was applied and validated on four different archaeological/architectural scenarios. Experimental results demonstrate that the proposed approach is reliable and replicable and it is effective for restoration and documentation purposes, providing metric information e.g. of damaged areas to be restored.
method_detection	object detection archaeology aerial imagery deep learning	openalex	UAV-Based Remote Sensing Applications for Bridge Condition Assessment	2021	Remote Sensing	198	yes	10.3390/rs13091809	https://www.mdpi.com/2072-4292/13/9/1809/pdf?version=1620445097	en	Deterioration of bridge infrastructure is a serious concern to transport and government agencies as it declines serviceability and reliability of bridges and jeopardizes public safety. Maintenance and rehabilitation needs of bridge infrastructure are periodically monitored and assessed, typically every two years. Existing inspection techniques, such as visual inspection, are time-consuming, subjective, and often incomplete. Non-destructive testing (NDT) using Unmanned Aerial Vehicles (UAVs) have been gaining momentum for bridge monitoring in the recent years, particularly due to enhanced accessibility and cost efficiency, deterrence of traffic closure, and improved safety during inspection. The primary objective of this study is to conduct a comprehensive review of the application of UAVs in bridge condition monitoring, used in conjunction with remote sensing technologies. Remote sensing technologies such as visual imagery, infrared thermography, LiDAR, and other sensors, integrated with UAVs for data acquisition are analyzed in depth. This study compiled sixty-five journal and conference papers published in the last two decades scrutinizing NDT-based UAV systems. In addition to comparison of stand-alone and integrated NDT-UAV methods, the facilitation of bridge inspection using UAVs is thoroughly discussed in the present article in terms of ease of use, accuracy, cost-efficiency, employed data collection tools, and simulation platforms. Additionally, challenges and future perspectives of the reviewed UAV-NDT technologies are highlighted.
method_detection	object detection archaeology aerial imagery deep learning	openalex	Applications of Unmanned Aerial Vehicles in Mining from Exploration to Reclamation: A Review	2020	Minerals	187	yes	10.3390/min10080663	https://www.mdpi.com/2075-163X/10/8/663/pdf?version=1595860689	en	Over the past decade, unmanned aerial vehicles (UAVs) have been used in the mining industry for various applications from mineral exploration to mine reclamation. This study aims to review academic papers on the applications of UAVs in mining by classifying the mining process into three phases: exploration, exploitation, and reclamation. Systematic reviews were performed to summarize the results of 65 articles (June 2010 to May 2020) and outline the research trend for applying UAVs in mining. This study found that UAVs are used at mining sites for geological and structural analysis via remote sensing, aerial geophysical survey, topographic surveying, rock slope analysis, working environment analysis, underground surveying, and monitoring of soil, water, ecological restoration, and ground subsidence. This study contributes to the classification of current UAV applications during the mining process as well as the identification of prevalent UAV types, data acquired by sensors, scales of targeted areas, and styles of flying control for the applications of UAVs in mining.
