theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
archaeology_discrimination	morphometric classification archaeological earthworks	openalex	Origin and Domestication of Native Amazonian Crops	2010	Diversity	431	yes	10.3390/d2010072	https://www.mdpi.com/1424-2818/2/1/72/pdf?version=1262788262	en	Molecular analyses are providing new elements to decipher the origin, domestication and dispersal of native Amazonian crops in an expanding archaeological context. Solid molecular data are available for manioc (Manihot esculenta), cacao (Theobroma cacao), pineapple (Ananas comosus), peach palm (Bactris gasipaes) and guaraná (Paullinia cupana), while hot peppers (Capsicum spp.), inga (Inga edulis), Brazil nut (Bertholletia excelsa) and cupuassu (Theobroma grandiflorum) are being studied. Emergent patterns include the relationships among domestication, antiquity (terminal Pleistocene to early Holocene), origin in the periphery, ample pre-Columbian dispersal and clear phylogeographic population structure for manioc, pineapple, peach palm and, perhaps, Capsicum peppers. Cacao represents the special case of an Amazonian species possibly brought into domestication in Mesoamerica, but close scrutiny of molecular data suggests that it may also have some incipiently domesticated populations in Amazonia. Another pattern includes the relationships among species with incipiently domesticated populations or very recently domesticated populations, rapid pre- or post-conquest dispersal and lack of phylogeographic population structure, e.g., Brazil nut, cupuassu and guaraná. These patterns contrast the peripheral origin of most species with domesticated populations with the subsequent concentration of their genetic resources in the center of the basin, along the major white water rivers where high pre-conquest population densities developed. Additional molecular genetic analyses on these and other species will allow better examination of these processes and will enable us to relate them to other historical ecological patterns in Amazonia.
archaeology_discrimination	morphometric classification archaeological earthworks	openalex	Airborne and spaceborne remote sensing for archaeological and cultural heritage applications: A review of the century (1907–2017)	2019	Remote Sensing of Environment	296	yes	10.1016/j.rse.2019.111280	https://ars.els-cdn.com/content/image/1-s2.0-S0034425719302998-ga1_lrg.jpg	en	Archaeological and cultural heritage (ACH), one of the core carriers of cultural diversity on our planet, has a direct bearing on the sustainable development of mankind. Documenting and protecting ACH is the common responsibility and duty of all humanity. It is governed by UNESCO along with the scientific communities that foster and encourage the use of advanced non-invasive techniques and methods for promoting scientific research into ACH and conservation of ACH sites. The use of remote sensing, a non-destructive tool, is increasingly popular by specialists around the world as it allows fast prospecting and mapping at multiple scales, rapid analysis of multisource datasets, and dynamic monitoring of ACH sites and their surrounding environments. The cost of using remote sensing is lower or even zero in practical applications. In this review, in order to discuss the advantages of airborne and spaceborne remote sensing (ASRS), the principles that make passive (photography, multispectral and hyperspectral) and active (synthetic aperture radar (SAR) and light detection and ranging radar (LiDAR)) imaging techniques suitable for ACH applications are first summarized and pointed out; a review of ASRS and the methodologies used over the past century is then presented together with relevant highlights from well-known research projects. Selected case studies from Mediterranean regions to East Asia illustrate how ASRS can be used effectively to investigate and understand archaeological features at multiple -scales and to monitor and assess the conservation status of cultural heritage sites in the context of sustainable development. An in-depth discussion on the limitations of ASRS and associated remaining challenges is presented along with conclusions and a look at future trends.
archaeology_discrimination	morphometric classification archaeological earthworks	openalex	Learning to Look at LiDAR: The Use of R-CNN in the Automated Detection of Archaeological Objects in LiDAR Data from the Netherlands	2019	Journal of Computer Applications in Archaeology	133	yes	10.5334/jcaa.32	http://journal.caa-international.org/articles/10.5334/jcaa.32/galley/24/download/	en	Computer-aided methods for the automatic detection of archaeological objects are needed to cope with the ever-growing set of largely digital and easily available remotely sensed data. In this paper, a promising new technique for the automated detection of multiple classes of archaeological objects in LiDAR data is presented. This technique is based on R-CNNs (Regions-based Convolutional Neural Networks). Unlike normal CNNs, which classify the entire input image, R-CNNs address the problem of object detection, which requires correctly localising and classifying (multiple) objects within a larger image. We have incorporated this technique into a workflow, which enables the preprocessing of LiDAR data into the required data format and the conversion of the results of the object detection into geographical data, usable in a GIS environment. The proposed technique has been trained and tested on LiDAR data gathered from the central part of the Netherlands. This area contains a multitude of archaeological objects, including prehistoric barrows and Celtic fields. The initial experiments show that we are able to automatically detect and categorise these two types of archaeological objects and thus proof the added value of this technique.
archaeology_discrimination	morphometric classification archaeological earthworks	openalex	Integrating Remote Sensing, Machine Learning, and Citizen Science in Dutch Archaeological Prospection	2019	Remote Sensing	130	yes	10.3390/rs11070794	https://www.mdpi.com/2072-4292/11/7/794/pdf?version=1554349755	en	Although the history of automated archaeological object detection in remotely sensed data is short, progress and emerging trends are evident. Among them, the shift from rule-based approaches towards machine learning methods is, at the moment, the cause for high expectations, even though basic problems, such as the lack of suitable archaeological training data are only beginning to be addressed. In a case study in the central Netherlands, we are currently developing novel methods for multi-class archaeological object detection in LiDAR data based on convolutional neural networks (CNNs). This research is embedded in a long-term investigation of the prehistoric landscape of our study region. We here present an innovative integrated workflow that combines machine learning approaches to automated object detection in remotely sensed data with a two-tier citizen science project that allows us to generate and validate detections of hitherto unknown archaeological objects, thereby contributing to the creation of reliable, labeled archaeological training datasets. We motivate our methodological choices in the light of current trends in archaeological prospection, remote sensing, machine learning, and citizen science, and present the first results of the implementation of the workflow in our research area.
archaeology_discrimination	morphometric classification archaeological earthworks	openalex	Deep Learning in Archaeological Remote Sensing: Automated Qanat Detection in the Kurdistan Region of Iraq	2020	Remote Sensing	109	yes	10.3390/rs12030500	https://www.mdpi.com/2072-4292/12/3/500/pdf?version=1581480147	en	In this paper, we report the results of our work on automated detection of qanat shafts on the Cold War-era CORONA Satellite Imagery. The increasing quantity of air and space-borne imagery available to archaeologists and the advances in computational science have created an emerging interest in automated archaeological detection. Traditional pattern recognition methods proved to have limited applicability for archaeological prospection, for a variety of reasons, including a high rate of false positives. Since 2012, however, a breakthrough has been made in the field of image recognition through deep learning. We have tested the application of deep convolutional neural networks (CNNs) for automated remote sensing detection of archaeological features. Our case study is the qanat systems of the Erbil Plain in the Kurdistan Region of Iraq. The signature of the underground qanat systems on the remote sensing data are the semi-circular openings of their vertical shafts. We choose to focus on qanat shafts because they are promising targets for pattern recognition and because the richness and the extent of the qanat landscapes cannot be properly captured across vast territories without automated techniques. Our project is the first effort to use automated techniques on historic satellite imagery that takes advantage of neither the spectral imagery resolution nor very high (sub-meter) spatial resolution.
archaeology_discrimination	distinguishing burial mounds from hillforts remote sensing	crossref	Detecting Neolithic Burial Mounds from LiDAR-Derived Elevation Data Using a Multi-Scale Approach and Machine Learning Techniques	2018	Remote Sensing	99		10.3390/rs10020225		en	 Airborne LiDAR technology is widely used in archaeology and over the past decade has emerged as an accurate tool to describe anthropomorphic landforms. Archaeological features are traditionally emphasised on a LiDAR-derived Digital Terrain Model (DTM) using multiple Visualisation Techniques (VTs), and occasionally aided by automated feature detection or classification techniques. Such an approach offers limited results when applied to heterogeneous structures (different sizes, morphologies), which is often the case for archaeological remains that have been altered throughout the ages. This study proposes to overcome these limitations by developing a multi-scale analysis of topographic position combined with supervised machine learning algorithms (Random Forest). Rather than highlighting individual topographic anomalies, the multi-scalar approach allows archaeological features to be examined not only as individual objects, but within their broader spatial context. This innovative and straightforward method provides two levels of results: a composite image of topographic surface structure and a probability map of the presence of archaeological structures. The method was developed to detect and characterise megalithic funeral structures in the region of Carnac, the Bay of Quiberon, and the Gulf of Morbihan (France), which is currently considered for inclusion on the UNESCO World Heritage List. As a result, known archaeological sites have successfully been geo-referenced with a greater accuracy than before (even when located under dense vegetation) and a ground-check confirmed the identification of a previously unknown Neolithic burial mound in the commune of Carnac. 
archaeology_discrimination	morphometric classification archaeological earthworks	openalex	Automated mound detection using lidar and object-based image analysis in Beaufort County, South Carolina	2018	Southeastern Archaeology	79	yes	10.1080/0734578x.2018.1482186	https://scholarsphere.psu.edu/resources/1deeafb0-9334-4e04-98a8-1ab86cd8d96c/downloads/14427	en	The study of precontact anthropogenic mounded features—earthen mounds, shell heaps, and shell rings—in the American Southeast is stymied by the spotty distribution of systematic surveys across the region. Many extant, yet unidentified, archaeological mound features continue to evade detection due to the heavily forested canopies that occupy large areas of the region, making pedestrian surveys difficult and preventing aerial observation. Object-based image analysis (OBIA) is a tool for analyzing light and radar (lidar) data and offers an inexpensive opportunity to address this challenge. Using publicly available lidar data from Beaufort County, South Carolina, and an OBIA approach that incorporates morphometric classification and statistical template matching, we systematically identify over 160 previously undetected mound features. This result improves our overall knowledge of settlement patterns by providing systematic knowledge about past landscapes.
archaeology_discrimination	distinguishing burial mounds from hillforts remote sensing	crossref	Detection of Ancient Settlement Mounds	2006	Photogrammetric Engineering &amp; Remote Sensing	69		10.14358/pers.72.3.321		en	
archaeology_discrimination	distinguishing burial mounds from hillforts remote sensing	openalex	A guide to good practice in Mediterranean surface survey projects	2020	JOURNAL OF GREEK ARCHAEOLOGY	65	yes	10.32028/9781789697926-2	https://archaeopresspublishing.com/ojs/index.php/JGA/article/download/430/99	en	This article deals with a relatively new form of archaeological research in the Mediterranean region – intensive surface survey, coverage of the landscape by teams walking in close order, recording patterns of human activity visible on the landsurface as scatters of pottery and lithics, or building remains. Since 2000, archaeologists from Dutch and Belgian universities working on Mediterranean survey projects have gathered annually to discuss methodological issues in workshops that gradually attracted landscape archaeologists from other European countries and Turkey. On the basis of these discussions, this paper, written by regular workshop contributors and other invited authors with wider Mediterranean experience, aims to evaluate the potential of various approaches to the archaeological surface record in the Mediterranean and provide guidelines for standards of good practice in Mediterranean survey.
archaeology_discrimination	morphometric classification archaeological earthworks	openalex	Bringing Lunar LiDAR Back Down to Earth: Mapping Our Industrial Heritage through Deep Transfer Learning	2019	Remote Sensing	54	yes	10.3390/rs11171994	https://www.mdpi.com/2072-4292/11/17/1994/pdf?version=1567159389	en	This article presents a novel deep learning method for semi-automated detection of historic mining pits using aerial LiDAR data. The recent emergence of national scale remotely sensed datasets has created the potential to greatly increase the rate of analysis and recording of cultural heritage sites. However, the time and resources required to process these datasets in traditional desktop surveys presents a near insurmountable challenge. The use of artificial intelligence to carry out preliminary processing of vast areas could enable experts to prioritize their prospection focus; however, success so far has been hindered by the lack of large training datasets in this field. This study develops an innovative transfer learning approach, utilizing a deep convolutional neural network initially trained on Lunar LiDAR datasets and reapplied here in an archaeological context. Recall rates of 80% and 83% were obtained on the 0.5 m and 0.25 m resolution datasets respectively, with false positive rates maintained below 20%. These results are state of the art and demonstrate that this model is an efficient, effective tool for semi-automated object detection for this type of archaeological objects. Further tests indicated strong potential for detection of other types of archaeological objects when trained accordingly.
